,M_NAME,Cluster,0,1,2,3,4,,,,,,
144,Roxanne Modafferi,1,0.185120827,0.267257744,0.15318244,0.205049337,0.189389652,,,,,,
145,Ryan Hall,0,0.306342326,0.124019064,0.188885544,0.188419663,0.192333402,,,,,,
146,Ryan Spann,1,0.157786264,0.263776445,0.261100328,0.184043489,0.133293475,,,,,,
147,Sara McMann,2,0.191190813,0.180941206,0.232872749,0.206607336,0.188387895,,,,,,
148,Sergei Pavlovich,1,0.144332922,0.300544446,0.147380359,0.169640349,0.238101924,,,,,,
149,Shamil Abdurakhimov,4,0.165380926,0.23755081,0.191202891,0.158084653,0.24778072,,,,,,
150,Shane Burgos,4,0.171348971,0.174834353,0.20509476,0.181625988,0.267095928,,,,,,
151,Sijara Eubanks,4,0.21974116,0.239794247,0.154567341,0.144566818,0.241330434,,,,,,
152,Sodiq Yusuff,0,0.275218183,0.150885953,0.159475657,0.201453459,0.212966748,,,,,,
153,Song Yadong,3,0.205357002,0.18172686,0.146719432,0.236351247,0.22984546,,,,,,
154,Stephen Thompson,4,0.193622372,0.198077856,0.154964992,0.217395954,0.235938827,,,,,,
155,Stipe Miocic,1,0.172925028,0.237339976,0.171318307,0.201574225,0.216842464,,,,,,
156,Tecia Torres,0,0.274864951,0.149794418,0.146605234,0.23928953,0.189445867,,,,,,
157,Thiago Santos,1,0.166757024,0.282095041,0.136429803,0.178763629,0.235954504,,,,,,
158,Tim Elliott,0,0.259175599,0.183320112,0.170791452,0.177645004,0.209067833,,,,,,
159,Tony Ferguson,0,0.316006318,0.15158564,0.191816427,0.161248562,0.179343053,,,,,,
160,Tyron Woodley,3,0.172871697,0.183311908,0.163608338,0.257434286,0.22277377,,,,,,
161,Tyson Nam,1,0.129459604,0.272140608,0.129181876,0.242645435,0.226572478,,,,,,
162,Uriah Hall,2,0.195276734,0.226404757,0.229595389,0.182239259,0.166483862,,,,,,
163,Valentina Shevchenko,3,0.18430862,0.123469281,0.21763624,0.254734758,0.219851102,,,,,,
164,Vicente Luque,3,0.216311578,0.209791208,0.157024799,0.225542248,0.191330166,,,,,,
165,Virna Jandiroba,2,0.14672374,0.076482608,0.602000295,0.065814494,0.108978863,,,,,,
166,Viviane Araujo,0,0.242242812,0.162002861,0.136544093,0.220598174,0.23861206,,,,,,
167,Volkan Oezdemir,4,0.157072303,0.232240151,0.1421466,0.208095367,0.260445578,,,,,,
168,Walt Harris,3,0.10320805,0.082428654,0.06891408,0.627566889,0.117882327,,,,,,
169,Yair Rodriguez,0,0.279148739,0.187523292,0.224198319,0.10998224,0.19914741,,,,,,
170,Yan Xiaonan,0,0.28454815,0.151080355,0.100534557,0.198943947,0.264892992,,,,,,
171,Yana Kunitskaya,2,0.26074018,0.136247892,0.364161787,0.097897969,0.140952171,,,,,,
172,Yoel Romero,4,0.197912825,0.200015259,0.199558355,0.187050343,0.215463218,,,,,,
173,Zabit Magomedsharipov,3,0.22137775,0.174590195,0.167902166,0.271322276,0.164807612,,,,,,
174,Zhang Weili,0,0.274619915,0.111979233,0.190241651,0.245784073,0.177375129,,,,,,
