M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Uriah Hall,23,6090,5,1,0,423.0,5,3,2,0,1484.0,343,697,386,743,4,13,188,486,60,101,95,110,281,608,24,30,38,59,376,823,553,1034,8,34,176,552,69,111,131,160,269,665,70,97,37,61,6
Valentina Shevchenko,20,5458,1,2,0,1661.0,0,0,0,0,775.0,269,513,443,691,19,37,150,346,41,66,78,101,189,419,42,53,38,41,205,608,486,922,2,9,48,338,84,150,73,120,140,523,54,72,11,13,6
Vicente Luque,18,4505,7,2,0,776.0,2,1,0,0,551.0,407,800,465,865,6,12,227,581,40,62,140,157,358,726,15,24,34,50,460,936,506,992,5,21,319,761,76,101,65,74,411,864,35,51,14,21,8
Virna Jandiroba,6,1380,0,5,2,543.0,1,0,0,1,357.0,28,62,96,139,7,14,21,53,7,9,0,0,18,47,5,9,5,6,35,82,117,170,4,10,24,70,9,10,2,2,20,58,10,15,5,9,2
Viviane Araujo,6,1800,0,0,0,163.0,1,0,0,1,239.0,123,270,148,297,4,9,91,231,19,24,13,15,115,259,4,6,4,5,166,333,234,411,0,5,73,209,49,73,44,51,144,298,13,23,9,12,1
Volkan Oezdemir,16,4207,3,0,0,534.0,2,0,3,0,367.0,338,736,482,883,2,9,210,576,57,76,71,84,246,602,61,90,31,44,287,657,311,684,3,23,190,522,68,101,29,34,241,595,45,61,1,1,5
Walt Harris,12,2509,4,0,0,241.0,5,1,1,0,431.0,151,354,176,383,1,3,103,279,36,63,12,12,92,265,8,21,51,68,187,353,241,416,3,7,135,283,34,46,18,24,113,256,9,15,65,82,3
Yair Rodriguez,22,6158,3,6,0,569.0,1,0,0,0,1192.0,421,1002,485,1077,7,23,227,746,87,128,107,128,339,854,30,50,52,98,327,811,450,961,4,15,261,704,42,60,24,47,220,661,27,43,80,107,6
Yan Xiaonan,9,2700,0,0,0,421.0,0,0,2,0,622.0,283,638,368,740,6,7,203,528,36,52,44,58,232,563,33,51,18,24,161,363,268,487,3,10,96,275,40,56,25,32,125,312,29,38,7,13,3
Yana Kunitskaya,13,3538,0,1,1,1933.0,2,1,1,0,327.0,265,483,590,854,8,15,93,268,106,132,66,83,143,341,105,121,17,21,187,383,282,498,4,6,127,313,52,61,8,9,111,283,33,39,43,61,3
Yoel Romero,33,9068,7,0,0,1363.0,5,3,1,0,427.0,510,1054,697,1257,20,65,317,794,94,137,99,123,362,841,78,125,70,88,489,1253,552,1327,5,24,243,866,125,230,121,157,434,1151,37,68,18,34,5
Zabit Magomedsharipov,10,2858,0,4,3,1128.0,0,0,0,0,153.0,213,438,277,515,19,29,134,330,27,53,52,55,159,364,13,18,41,56,149,380,211,446,2,7,82,278,32,59,35,43,122,346,17,24,10,10,4
Zhang Weili,13,3563,1,2,1,553.0,0,0,1,0,180.0,379,840,463,934,5,21,208,561,46,88,125,191,290,727,33,46,56,67,263,569,279,585,0,3,134,386,54,76,75,107,230,529,30,35,3,5,5
