M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Katlyn Chookagian,22,109.91666666666667,1,0.009097801364670205,0,110.0,3,1,0,0,1279.0,4.357846853677028,1434,622,1588,0.0,16,275,1141,118,188,86,105,432,1365,0.32752084912812734,55,0.10007581501137225,14,507,1371,661,1545,12,26,232,983,79,139,196,249,451,1293,40,59,16,19,5
Kelvin Gastelum,35,168.76666666666668,6,0.005925340707090657,6,1200.0,4,5,5,2,1839.0,3.892948844558562,1532,833,1727,0.03555204424254394,19,470,1291,109,152,78,89,550,1361,0.35552044242543945,102,0.27849101323326086,69,521,1330,664,1490,21,59,331,1045,117,194,73,91,418,1174,69,112,34,44,8
Ketlen Vieira,9,45.0,0,0.022222222222222223,0,1359.0,0,0,0,0,64.0,2.7777777777777777,363,252,515,0.15555555555555556,13,99,333,17,21,9,9,86,310,0.4888888888888889,34,0.37777777777777777,19,171,399,290,534,0,8,79,281,48,68,44,50,113,316,46,63,12,20,3
Kevin Lee,24,104.33333333333333,1,0.047923322683706075,2,3041.0,2,0,7,1,308.0,4.217252396166135,906,665,1153,0.23003194888178916,55,357,802,79,100,4,4,235,639,0.30670926517571884,39,1.6581469648562301,228,331,658,403,735,2,15,198,484,74,104,59,70,265,576,37,47,29,35,8
Khabib Nurmagomedov,20,86.35,2,0.06948465547191662,0,2817.0,0,0,1,0,133.0,3.671105964099595,652,501,859,0.45165026056745805,76,267,587,31,43,19,22,111,371,0.22003474232773598,25,2.1656050955414012,256,126,358,186,432,2,9,59,263,35,60,32,35,105,332,17,20,4,6,8
Lauren Murphy,21,101.76666666666667,1,0.0,0,1213.0,4,0,2,1,1345.0,3.301670488044546,931,622,1254,0.06878480183426139,21,225,793,30,46,81,92,236,818,0.48149361283982967,55,0.5011464133639043,58,333,980,557,1235,10,26,225,825,43,80,65,75,280,904,28,40,25,36,3
Leon Edwards,24,113.15,3,0.03535130357931949,2,2240.0,1,1,2,0,1262.0,2.536456031816173,624,444,807,0.1237295625276182,45,203,510,63,90,21,24,206,519,0.4330534688466637,62,0.2828104286345559,43,248,564,512,856,8,29,141,415,61,86,46,63,190,476,38,49,20,39,7
Lina Lansberg,16,75.03333333333333,0,0.01332741003998223,1,1502.0,3,0,1,0,1900.0,3.3185250999555755,425,431,651,0.05330964015992892,14,132,288,92,110,25,27,78,203,1.4926699244780097,143,0.7863171923589516,79,313,560,593,890,9,21,177,395,114,137,22,28,141,333,122,148,50,79,3
Mackenzie Dern,5,21.333333333333332,0,0.28125,1,107.0,1,0,0,0,226.0,1.59375,179,66,213,0.0,7,24,163,6,11,4,5,26,171,0.0,0,0.375,8,84,237,102,257,2,2,46,187,24,34,14,16,78,227,4,5,2,5,2
Macy Chiasson,5,16.366666666666667,2,0.12219959266802444,2,555.0,0,0,2,0,239.0,5.621181262729124,165,144,220,0.0,6,64,129,26,34,2,2,31,71,0.7942973523421588,21,2.9327902240325865,73,42,75,83,124,1,5,25,54,15,19,2,2,22,48,12,17,8,10,3
Magomed Ankalaev,8,29.266666666666666,3,0.0,0,684.0,0,0,0,0,48.0,3.211845102505695,173,177,269,0.0683371298405467,6,66,135,20,27,8,11,57,128,0.4100227790432802,18,0.8542141230068337,27,37,121,53,139,0,7,18,87,10,22,9,12,29,111,8,10,0,0,4
Marcin Tybura,28,130.11666666666667,1,0.0,0,2351.0,4,2,0,0,777.0,3.6659408223389263,998,821,1444,0.11528115793518637,32,325,794,76,117,76,87,343,791,0.30741642116049694,70,0.7224285897271678,137,446,1073,580,1230,1,15,310,913,84,102,52,58,361,957,78,107,7,9,6
Marina Rodriguez,4,18.05,0,0.0,0,64.0,1,0,1,0,534.0,4.155124653739612,122,130,182,0.055401662049861494,1,54,100,12,13,9,9,28,59,0.6648199445983379,15,1.9390581717451523,48,41,79,126,171,5,9,35,72,3,3,3,4,11,34,2,2,28,43,1
Marion Reneau,18,83.61666666666666,0,0.03587801474985051,0,608.0,3,1,0,1,1570.0,3.3486147099860477,710,384,831,0.04783735299980068,6,202,603,51,77,27,30,192,576,0.7773569862467611,97,0.2750647797488539,37,298,661,478,858,12,25,128,436,92,124,78,101,188,516,91,108,19,37,4
Marlon Moraes,11,46.516666666666666,3,0.02149767108563239,0,99.0,1,1,1,0,187.0,3.7620924399856683,410,180,415,0.04299534217126478,6,116,326,30,41,29,43,164,398,0.06449301325689717,3,0.17198136868505912,9,194,436,212,456,3,8,137,352,45,69,12,15,145,376,22,27,27,33,4
Marlon Vera,29,127.56666666666666,4,0.08622942252417037,0,1027.0,4,0,0,2,2284.0,3.723543245361902,936,565,1043,0.06271230729030572,18,244,593,117,201,114,142,314,709,0.6428011497256336,109,0.619284034491769,118,495,1012,735,1274,11,35,317,740,108,172,70,100,325,771,74,110,96,131,9
Marvin Vettori,8,38.78333333333333,0,0.07735281478298238,0,530.0,0,0,0,0,253.0,5.208422862054147,387,297,499,0.2062741727546197,15,174,353,13,18,15,16,120,281,0.5672539750752041,32,1.5470562956596476,74,98,274,140,319,1,8,37,170,21,42,40,62,84,258,11,12,3,4,4
Matt Schnell,9,38.46666666666667,0,0.10398613518197573,0,44.0,1,1,1,0,282.0,3.6395147313691507,408,161,430,0.025996533795493933,4,89,328,10,26,41,54,133,393,0.18197573656845753,15,0.0,0,126,368,160,403,2,4,80,299,15,21,31,48,104,346,8,8,14,14,4
Mauricio Rua,55,244.05,13,0.06146281499692686,4,2164.0,8,6,10,7,1761.0,3.872157344806392,1853,1473,2445,0.15980331899200984,77,580,1369,182,250,183,234,485,1135,0.8522843679573857,317,1.0325752919483713,401,702,1571,1085,1988,31,64,489,1299,153,189,60,83,446,1183,150,238,106,150,19
Max Holloway,52,252.3,7,0.019817677368212445,0,820.0,5,0,3,1,1467.0,6.793499801823226,3773,1831,3903,0.015854141894569955,5,1221,3080,358,502,135,191,1435,3395,0.5866032500990883,199,0.5192231470471661,179,1138,2994,1189,3059,18,95,682,2296,152,302,304,396,1041,2834,65,100,32,60,12
Maycee Barber,6,25.083333333333332,0,0.0398671096345515,3,371.0,1,1,0,1,702.0,4.704318936877077,196,143,226,0.0398671096345515,5,92,167,20,23,6,6,44,103,1.6345514950166113,46,1.3156146179401993,47,72,140,187,274,1,3,35,94,23,29,14,17,39,99,26,30,7,11,2
Merab Dvalishvili,6,30.0,1,0.0,0,628.0,2,0,1,1,185.0,3.6,328,186,413,0.5666666666666667,45,76,283,18,28,14,17,80,278,0.8666666666666667,47,0.06666666666666667,3,92,209,104,223,2,10,47,154,37,46,8,9,50,154,39,52,3,3,0
Michael Chiesa,21,86.78333333333333,0,0.10370654887651239,2,2506.0,1,0,4,2,1021.0,2.0049932782792395,443,347,657,0.28807374687920106,40,142,398,21,33,11,12,89,320,0.20741309775302477,29,0.7720376416362589,94,177,378,269,490,5,15,93,266,38,57,46,55,124,305,29,41,24,32,9
Michelle Waterson,28,127.61666666666666,0,0.07052370380044404,1,1218.0,3,1,3,3,1574.0,3.769100169779287,973,707,1219,0.10186757215619695,37,234,654,148,189,99,130,315,775,0.8384484785163903,128,0.4623220582473554,70,455,920,656,1159,7,25,277,676,126,175,52,69,286,710,106,129,63,81,7
Misha Cirkunov,9,31.45,0,0.1271860095389507,3,566.0,1,1,0,1,179.0,3.6565977742448332,216,219,346,0.3179650238473768,18,89,175,21,35,5,6,67,152,0.8267090620031796,41,0.699523052464229,23,87,252,109,281,1,3,51,190,20,37,16,25,55,198,13,20,19,34,5
Montana De La Rosa,9,44.35,0,0.04509582863585118,0,527.0,2,0,1,0,163.0,3.4949267192784665,471,214,535,0.13528748590755355,24,112,407,23,42,20,22,126,422,0.3156708004509583,28,0.3382187147688839,21,195,362,221,391,1,4,118,266,52,68,25,28,159,317,23,27,13,18,1
Nate Diaz,44,195.13333333333333,1,0.06149641270925863,5,1524.0,6,6,7,4,2145.0,5.970276733857192,2596,1757,3249,0.07687051588657329,46,917,2236,167,257,81,103,816,2055,1.2043047488896481,347,0.584215920737957,194,801,1819,1064,2107,20,38,475,1369,141,219,185,231,559,1436,133,192,109,191,13
Neil Magny,40,179.33333333333334,2,0.027881040892193308,2,2654.0,4,5,5,3,3533.0,3.881040892193308,1362,1238,1955,0.2007434944237918,70,498,1092,127,174,71,96,317,862,0.8029739776951672,190,1.3104089219330854,310,367,877,605,1152,22,59,219,664,60,108,88,105,212,633,58,102,97,142,12
Nikita Krylov,17,60.35,2,0.13256006628003314,2,1548.0,4,0,5,3,1301.0,3.9933719966859984,374,508,665,0.09942004971002485,17,163,261,49,72,29,41,77,177,1.4913007456503728,110,1.2261806130903066,87,121,196,288,384,13,25,102,172,12,17,7,7,46,93,27,35,48,68,6
Nina Ansaroff,12,58.65,0,0.03410059676044331,0,544.0,1,0,0,0,997.0,4.109121909633418,534,322,625,0.017050298380221655,1,150,407,31,54,60,73,198,475,0.2728047740835465,23,0.46035805626598464,36,168,399,243,480,7,35,109,321,29,40,30,38,115,324,14,22,39,53,3
Omari Akhmedov,26,123.46666666666667,2,0.016198704103671704,0,1586.0,4,2,2,2,1054.0,2.688984881209503,954,515,1168,0.17818574514038876,43,229,797,61,102,42,55,236,813,0.4292656587473002,73,0.34827213822894165,68,326,738,460,889,10,35,216,568,58,103,52,67,224,608,64,85,38,45,6
Pannie Kianzad,8,37.18333333333333,0,0.026893769610040343,0,226.0,2,2,2,0,695.0,4.034065441506051,360,172,388,0.026893769610040343,5,107,294,26,48,17,18,126,321,0.6185567010309279,38,0.026893769610040343,1,138,329,174,369,0,9,78,244,29,50,31,35,105,278,27,41,6,10,1
