M_NAME,M_RES,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_KD,OP_SIG_STR,OP_TOTAL_STR,OP_TD,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Method_DQ,Method_Decision - Majority,Method_Decision - Split,Method_Decision - Unanimous,Method_KO/TKO,Method_Submission,Method_TKO - Doctor's Stoppage
Marcin Tybura,0.5833333333333334,0.014164305949008497,3.642871858813478,53.166666666666664,6.443290930258816,0.09367479654291096,52.22222222222222,0.006510416666666667,0.006510416666666667,49.28333333333333,2.2441522359052564,0.6235765207688072,0.7751431021394141,2.482358606377811,0.37576156256480325,0.7847516898708636,0.11024607836843005,0.10786760614620783,3.7907073182065534,4.775845107475443,0.028003556295399513,0.006053268765133172,0.0,23.6,2.8650463453768733,0.6512864428751709,0.27437452995450884,2.371886608842941,1.0980097394954387,0.3208109698681733,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0
Marina Rodriguez,0.75,0.016666666666666666,6.9021857923497265,59.0,8.49672131147541,0.09863387978142077,41.666666666666664,0.016666666666666666,0.016666666666666666,6.483333333333333,3.6893442622950823,2.2169398907103828,0.9959016393442623,3.1655737704918034,2.283606557377049,1.4530054644808743,0.016666666666666666,0.0,2.7224043715847,4.639071038251366,0.08333333333333333,0.03333333333333333,0.0,12.033333333333333,1.6418032786885246,0.7833333333333333,0.29726775956284157,1.4904371584699456,0.7486338797814208,0.48333333333333334,0.0,0.0,0.25,0.5,0.25,0.0,0.0
Marion Reneau,0.5,0.0,3.211540516593319,39.7,4.597611067438593,0.03432950191570881,87.5,0.11205658938140454,0.006711409395973154,13.783333333333333,2.2351664911957974,0.6333407769210886,0.34303324847643296,2.193760161147949,0.6465331765911554,0.37124717885421427,0.03333333333333333,0.05263157894736842,3.270888166808824,5.062204667847855,0.12520348842959347,0.006711409395973154,0.006666666666666666,34.233333333333334,1.5359783877771918,1.0322093120219773,0.7027004670096548,2.266551564855564,0.8432062051829649,0.16113039677029492,0.0,0.0,0.1,0.5,0.2,0.2,0.0
Marlon Moraes,0.625,0.4892243902775003,4.757589351838227,43.875,5.186387396175328,0.03732782369146005,40.0,0.04640439932318105,0.0,3.05,3.5410710474606497,0.491524014454815,0.7249942899227625,3.249546061904264,0.025168350168350166,1.4828749397656131,0.03741199877563514,0.02899449035812672,3.1546627520199904,3.3434913937674136,0.025084175084175084,0.008417508417508417,0.0,3.183333333333333,1.7950679913721193,0.6989849878248793,0.6606097728229915,2.692885892515858,0.19326599326599325,0.26851086623813897,0.0,0.0,0.375,0.0,0.5,0.125,0.0
Marlon Vera,0.6666666666666666,0.07329808667366071,3.8693320784501264,49.666666666666664,4.537633220239849,0.057348734920933904,55.0,0.13255838815803517,0.0,19.85,1.9611194076575744,0.8690649222026979,1.0391477485898541,2.5324402334905636,0.5390753944723197,0.7978164504872436,0.02222222222222222,0.0,3.701768694840633,5.417761495467098,0.10302467235737764,0.0,0.008888888888888889,41.45,2.112255960670764,0.853515047548273,0.7359976866215956,2.558722810805722,0.5069804625286312,0.6360654215062796,0.0,0.0,0.0,0.4,0.3333333333333333,0.26666666666666666,0.0
Marvin Vettori,0.7142857142857143,0.0,4.742103637823482,49.42857142857143,7.7026990303254905,0.17464023222778088,65.16666666666667,0.10797356556111419,0.0,15.45,4.027817923537767,0.3238095238095238,0.3904761904761905,2.4635291211166694,0.35238095238095235,1.9261935643258599,0.019047619047619046,0.0,2.2984868136619108,3.3238836390587365,0.06984126984126984,0.0,0.0,9.783333333333333,1.1238836390587363,0.4222222222222222,0.7523809523809524,1.993724908900006,0.17142857142857146,0.13333333333333333,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,0.0
Matt Schnell,0.5714285714285714,0.0,3.669118639039028,35.0,5.104665560677586,0.07575757575757576,40.0,0.23184165232358003,0.0,0.8333333333333334,2.4540325909391263,0.38758020463911885,0.8275058434607824,3.1773066896395292,0.4251082251082251,0.06670372429127293,0.10357899184413179,0.07111145937659934,5.0147479424014145,6.257792799862014,0.17803786630300625,0.03775959723096287,0.0,6.9,3.5995547513466986,0.5126075099643381,0.9025856810903784,3.2660704595683923,0.6563743158456815,1.0923031669873404,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0
Mauricio Rua,0.7105263157894737,0.11758158267772519,4.383566099388813,49.91891891891892,6.659282932724132,0.15300806407843287,44.074074074074076,0.12392692335916929,0.013207903947307113,51.38333333333333,2.7305067464654047,0.8330488477662449,0.8200105051571646,2.1971939299267906,0.7333050210055857,1.4530671484564373,0.11392645504504839,0.0818150464137435,2.8532314756911417,4.307950042057658,0.23665708338333538,0.05335439486930271,0.020635795710613684,43.5,2.1423694354154685,0.48330200971531884,0.22756003056035476,1.7158932731623135,0.4350555149384262,0.7022826875904014,0.0,0.0,0.05263157894736842,0.15789473684210525,0.6842105263157895,0.10526315789473684,0.0
Max Holloway,0.7391304347826086,0.04154561364666637,6.576014678041019,43.34782608695652,7.155933300094376,0.013833251913369156,80.0,0.02324567895181157,0.0,17.5,4.693967585094248,1.4797963826813707,0.40225071026539777,5.333900113437509,0.7033714413631348,0.538743123240372,0.023865210252016846,0.0,4.211227383888088,4.447041217740111,0.0720187978971503,0.03855215249518098,0.003154408285579097,35.31666666666667,2.599808037069685,0.5927384277794903,1.018680919038911,3.7925983730074937,0.3032084934661269,0.11542051741446603,0.0,0.0,0.13043478260869565,0.34782608695652173,0.34782608695652173,0.13043478260869565,0.043478260869565216
Maycee Barber,0.8,0.0,7.31303811466897,57.8,8.293380718056628,0.056573738383964664,30.0,0.013333333333333332,0.04,6.216666666666667,5.054820084680882,1.095432418446382,1.1627856115417061,3.2869191365332733,2.8148848564791864,1.2112341216565112,0.013333333333333332,0.013333333333333332,3.558113294849735,5.7505281167618305,0.013333333333333332,0.0,0.013333333333333332,12.35,1.775667052991284,1.2429154157994176,0.5395308260590334,2.229648558957875,1.2101833776105015,0.11828135828135829,0.0,0.0,0.0,0.2,0.8,0.0,0.0
