,Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
10358,10538,KO/TKO,2,374,0,Ben Saunders,0,11,40%,44,1,100%,0,0,94.0,4,7,0,7,3,1,1,Patrick Cote,1,42,66%,55,0,,1,1,90.0,31,4,7,13,9,20,1.0
10359,10539,Decision - Split,3,900,1,Ben Saunders,0,98,48%,172,0,,0,0,0.0,61,30,7,73,16,9,0,Kenny Robertson,1,91,48%,98,2,66%,0,0,379.0,65,7,19,74,15,2,1.0
10360,10540,Submission,1,57,1,Ben Saunders,0,4,57%,4,0,,0,0,0.0,3,1,0,3,1,0,0,Joe Riggs,0,2,66%,2,1,100%,0,0,19.0,2,0,0,2,0,0,1.0
10361,10541,Submission,1,138,1,Ben Saunders,0,4,66%,6,0,,2,0,44.0,1,1,2,3,0,1,0,Chris Heatherly,0,4,80%,7,1,100%,0,0,74.0,1,3,0,3,0,1,1.0
10362,10542,Decision - Unanimous,3,900,0,Ben Saunders,0,30,66%,54,0,,1,0,0.0,17,13,0,20,10,0,1,Dennis Hallman,0,28,50%,96,3,50%,0,0,709.0,24,1,3,3,4,21,1.0
10363,10543,Decision - Unanimous,3,900,0,Ben Saunders,0,17,56%,31,0,,0,0,43.0,4,6,7,4,13,0,1,Jon Fitch,0,72,72%,212,2,28%,0,0,733.0,41,17,14,11,23,38,1.0
10364,10544,KO/TKO,1,204,1,Ben Saunders,0,22,56%,31,0,0%,0,0,54.0,9,12,1,4,17,1,0,Marcus Davis,0,8,33%,16,0,0%,0,0,67.0,3,2,3,3,5,0,1.0
10365,10545,KO/TKO,2,527,0,Ben Saunders,0,17,54%,29,0,0%,0,0,38.0,1,11,5,5,12,0,1,Mike Swick,1,10,28%,75,1,100%,1,0,327.0,8,2,0,4,4,2,1.0
10366,10546,KO/TKO,1,109,1,Ben Saunders,1,42,82%,49,0,,0,0,48.0,35,6,1,7,35,0,0,Brandon Wolff,0,0,0%,4,0,,0,0,6.0,0,0,0,0,0,0,1.0
10367,10547,Submission,2,448,1,Ben Saunders,1,41,70%,56,1,100%,2,0,248.0,22,16,3,31,4,6,0,Ryan Thomas,0,12,22%,32,0,0%,2,0,22.0,7,2,3,9,3,0,1.0
10368,10548,Decision - Unanimous,3,900,1,Ben Saunders,0,18,72%,143,0,,4,0,349.0,10,7,1,5,4,9,0,Dan Barrera,0,12,70%,59,1,8%,0,1,429.0,6,0,6,0,6,6,1.0
10369,10549,Submission,1,243,0,Chris Saunders,0,6,22%,6,1,100%,0,0,36.0,1,0,5,6,0,0,1,Myles Jury,0,12,24%,12,0,,1,0,0.0,5,2,5,12,0,0,1.0
10370,10550,Submission,1,232,0,Lumumba Sayers,0,1,7%,6,1,100%,0,0,36.0,0,0,1,1,0,0,1,Anthony Smith,0,12,60%,21,0,,3,1,112.0,7,2,3,7,1,4,2.0
10371,10551,Submission,1,94,1,Lumumba Sayers,0,10,71%,13,2,100%,1,0,57.0,9,1,0,3,3,4,0,Scott Smith,0,2,40%,2,0,,0,0,0.0,1,1,0,0,2,0,2.0
10372,10552,KO/TKO,1,28,1,Lumumba Sayers,1,4,50%,5,0,0%,0,0,,4,0,0,0,4,0,0,Antwain Britt,0,0,0%,0,0,,0,0,,0,0,0,0,0,0,2.0
10373,10553,Submission,1,260,0,Matt Sayles,0,2,50%,6,0,,0,0,0.0,2,0,0,0,0,2,1,Bryce Mitchell,0,6,85%,24,1,100%,1,0,240.0,5,1,0,1,0,5,1.0
10374,10554,Submission,3,796,1,Matt Sayles,0,75,51%,106,0,,1,1,167.0,45,15,15,48,3,24,0,Kyle Nelson,0,26,27%,32,2,20%,4,0,227.0,18,8,0,24,2,0,1.0
10375,10555,Decision - Unanimous,3,900,0,Matt Sayles,0,77,32%,79,0,0%,0,0,67.0,39,23,15,67,10,0,1,Sheymon Moraes,0,73,42%,77,0,0%,0,0,3.0,31,40,2,64,9,0,1.0
10376,10556,Decision - Unanimous,3,900,0,Mark Scanlon,0,33,35%,62,3,75%,2,1,197.0,28,2,3,26,3,4,1,Pascal Krauss,0,50,51%,230,3,75%,2,0,488.0,24,21,5,11,14,25,1.0
10377,10557,KO/TKO,2,391,0,Eric Schafer,0,6,66%,47,2,40%,0,0,278.0,3,1,2,1,0,5,1,Jorge Rivera,0,6,35%,34,0,,0,1,58.0,6,0,0,0,0,6,1.0
10378,10558,Decision - Unanimous,3,900,0,Eric Schafer,0,14,13%,17,0,,0,0,0.0,13,1,0,11,3,0,1,Aaron Simpson,2,58,41%,63,0,,0,0,30.0,41,17,0,43,13,2,1.0
10379,10559,Decision - Unanimous,3,900,0,Eric Schafer,0,27,33%,52,2,66%,1,1,105.0,22,5,0,17,8,2,1,Jason Brilz,0,70,48%,130,3,50%,1,1,432.0,54,7,9,38,26,6,1.0
10380,10560,Decision - Unanimous,3,900,0,Eric Schafer,0,25,21%,45,0,,1,0,1.0,23,1,1,23,2,0,1,Ryan Bader,2,52,31%,74,3,75%,0,0,265.0,46,1,5,33,5,14,1.0
10381,10561,KO/TKO,1,215,1,Eric Schafer,0,22,73%,59,0,0%,0,1,186.0,22,0,0,0,0,22,0,Antonio Mendes,0,3,60%,9,0,,0,0,9.0,2,0,1,2,0,1,1.0
10382,10562,Submission,1,293,1,Eric Schafer,0,24,63%,53,1,25%,2,1,196.0,21,3,0,0,3,21,0,Houston Alexander,0,12,57%,22,0,,0,0,32.0,7,3,2,3,4,5,1.0
10383,10563,KO/TKO,2,467,0,Eric Schafer,0,13,76%,35,1,20%,1,0,129.0,3,5,5,5,6,2,1,Stephan Bonnar,0,30,55%,76,0,,0,0,230.0,26,4,0,2,4,24,1.0
10384,10564,KO/TKO,1,264,0,Eric Schafer,0,3,50%,10,3,42%,2,0,155.0,1,2,0,0,2,1,1,Michael Bisping,0,19,57%,21,0,0%,0,1,39.0,15,3,1,7,2,10,1.0
10385,10565,Submission,1,146,1,Eric Schafer,0,7,70%,21,0,,2,0,89.0,2,1,4,4,1,2,0,Rob MacDonald,0,2,50%,6,0,0%,0,0,0.0,1,0,1,2,0,0,1.0
10386,10566,KO/TKO,2,508,0,Kerry Schall,0,8,11%,8,0,,0,0,0.0,7,0,1,8,0,0,1,Keith Jardine,1,41,36%,41,0,,0,0,0.0,19,6,16,41,0,0,1.0
10387,10567,Decision - Split,3,900,0,Eric Schambari,0,18,48%,41,3,33%,2,2,649.0,14,4,0,9,0,9,1,Bryan Baker,0,21,50%,75,0,,2,2,188.0,13,5,3,1,6,14,4.0
10388,10568,Decision - Unanimous,3,900,1,Eric Schambari,0,25,38%,69,3,60%,0,0,776.0,22,3,0,4,0,21,0,Logan Clark,0,11,37%,94,1,100%,4,0,46.0,10,1,0,5,3,3,4.0
10389,10569,KO/TKO,1,290,0,Brendan Schaub,0,5,38%,6,1,33%,0,0,49.0,3,1,1,4,1,0,1,Travis Browne,0,25,67%,36,1,100%,0,0,101.0,24,1,0,2,1,22,2.0
10390,10570,Decision - Split,3,900,0,Brendan Schaub,0,30,34%,65,1,20%,0,0,192.0,23,7,0,15,3,12,1,Andrei Arlovski,0,12,21%,40,0,0%,0,0,190.0,6,3,3,11,1,0,2.0
10391,10571,Submission,1,246,1,Brendan Schaub,0,14,46%,14,1,100%,1,0,53.0,13,1,0,14,0,0,0,Matt Mitrione,0,7,63%,7,0,,0,0,0.0,4,1,2,7,0,0,2.0
10392,10572,Decision - Unanimous,3,900,1,Brendan Schaub,0,18,58%,77,5,62%,1,1,722.0,16,2,0,1,5,12,0,Lavar Johnson,0,36,69%,170,1,100%,0,0,55.0,18,10,8,1,17,18,2.0
10393,10573,KO/TKO,1,70,0,Brendan Schaub,0,9,52%,9,0,,0,0,8.0,9,0,0,7,2,0,1,Ben Rothwell,1,8,47%,8,0,,0,0,2.0,6,2,0,5,2,1,2.0
10394,10574,KO/TKO,1,189,0,Brendan Schaub,0,11,24%,11,0,,0,0,20.0,7,3,1,8,3,0,1,Antonio Rodrigo Nogueira,1,15,42%,17,0,0%,0,0,17.0,12,3,0,11,3,1,2.0
