,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
190,KO/TKO,3,14:45,L,Thomas Gifford,0,88 of 242,36%,89 of 243,0 of 2,0%,0,0,0:00,45 of 189,18 of 23,25 of 30,80 of 229,8 of 11,0 of 2,W,Mike Davis,2,139 of 222,62%,141 of 224,2 of 2,100%,0,0,1:56,96 of 166,32 of 40,11 of 16,98 of 173,17 of 18,24 of 31
191,Decision - Unanimous,3,15:00,L,Thomas Gifford,0,30 of 70,42%,86 of 130,1 of 1,100%,0,0,1:41,16 of 53,5 of 7,9 of 10,24 of 63,4 of 5,2 of 2,W,Roosevelt Roberts,0,53 of 85,62%,95 of 132,2 of 4,50%,0,0,9:11,41 of 73,7 of 7,5 of 5,31 of 59,3 of 3,19 of 23
192,Submission,1,4:12,L,Joseph Gigliotti,0,5 of 20,25%,6 of 21,1 of 1,100%,0,0,0:39,2 of 16,1 of 1,2 of 3,5 of 20,0 of 0,0 of 0,W,Gerald Meerschaert,0,14 of 34,41%,18 of 39,0 of 2,0%,1,0,1:05,13 of 33,1 of 1,0 of 0,8 of 24,3 of 7,3 of 3
193,Decision - Unanimous,3,15:00,L,Joseph Gigliotti,0,15 of 31,48%,24 of 40,1 of 1,100%,1,0,0:58,10 of 26,5 of 5,0 of 0,6 of 19,8 of 10,1 of 2,W,Trevor Smith,1,42 of 69,60%,105 of 137,4 of 6,66%,2,0,12:46,38 of 63,2 of 4,2 of 2,3 of 17,10 of 13,29 of 39
194,KO/TKO,1,4:57,L,Joey Gilbert,0,3 of 7,42%,11 of 15,0 of 1,0%,0,0,0:06,0 of 4,2 of 2,1 of 1,1 of 5,2 of 2,0 of 0,W,BJ Penn,0,22 of 32,68%,76 of 86,2 of 2,100%,0,0,4:30,18 of 28,4 of 4,0 of 0,3 of 8,3 of 3,16 of 21
195,KO/TKO,3,11:26,W,Trevin Giles,2,38 of 59,64%,51 of 73,1 of 2,50%,0,0,2:33,34 of 54,2 of 3,2 of 2,34 of 53,3 of 5,1 of 1,L,Bevon Lewis,0,26 of 75,34%,60 of 113,0 of 6,0%,0,0,1:35,15 of 59,6 of 9,5 of 7,21 of 69,5 of 6,0 of 0
196,Decision - Split,3,15:00,W,Trevin Giles,0,71 of 148,47%,88 of 167,0 of 0,---,1,1,3:39,63 of 139,6 of 7,2 of 2,36 of 92,7 of 16,28 of 40,L,James Krause,0,44 of 80,55%,59 of 98,1 of 4,25%,4,0,3:52,18 of 49,8 of 12,18 of 19,39 of 74,5 of 6,0 of 0
197,Submission,3,11:49,L,Trevin Giles,0,8 of 15,53%,27 of 38,1 of 1,100%,0,1,4:16,8 of 13,0 of 2,0 of 0,2 of 9,1 of 1,5 of 5,W,Gerald Meerschaert,0,6 of 19,31%,31 of 55,1 of 3,33%,1,2,5:30,3 of 16,2 of 2,1 of 1,4 of 13,0 of 0,2 of 6
198,Submission,3,14:01,L,Trevin Giles,0,31 of 64,48%,36 of 69,0 of 0,---,0,0,0:23,21 of 49,7 of 12,3 of 3,29 of 61,2 of 3,0 of 0,W,Zak Cummings,1,34 of 100,34%,41 of 107,0 of 2,0%,1,0,0:26,10 of 67,11 of 16,13 of 17,28 of 92,6 of 8,0 of 0
199,KO/TKO,3,12:27,W,Trevin Giles,1,70 of 113,61%,77 of 120,0 of 0,---,0,0,0:24,62 of 104,6 of 7,2 of 2,68 of 111,2 of 2,0 of 0,L,Antonio Braga Neto,0,18 of 73,24%,26 of 86,2 of 5,40%,0,0,3:14,10 of 60,5 of 8,3 of 5,16 of 71,0 of 0,2 of 2
200,KO/TKO,2,7:54,W,Trevin Giles,0,41 of 53,77%,54 of 66,5 of 5,100%,0,0,5:43,34 of 45,6 of 7,1 of 1,8 of 13,3 of 3,30 of 37,L,James Bochnovic,0,5 of 24,20%,15 of 35,0 of 1,0%,0,0,0:08,1 of 19,2 of 3,2 of 2,4 of 23,0 of 0,1 of 1
201,KO/TKO,1,2:47,L,Gregor Gillespie,0,9 of 46,19%,9 of 46,0 of 1,0%,0,0,0:00,8 of 45,0 of 0,1 of 1,9 of 46,0 of 0,0 of 0,W,Kevin Lee,1,21 of 59,35%,21 of 59,0 of 0,---,0,0,0:01,19 of 55,2 of 4,0 of 0,20 of 56,0 of 2,1 of 1
202,KO/TKO,2,9:59,W,Gregor Gillespie,0,51 of 71,71%,73 of 95,6 of 11,54%,0,1,8:48,38 of 58,10 of 10,3 of 3,1 of 11,6 of 9,44 of 51,L,Yancy Medeiros,0,1 of 12,8%,1 of 12,0 of 0,---,0,1,0:07,1 of 11,0 of 1,0 of 0,1 of 11,0 of 0,0 of 1
203,Submission,2,9:06,W,Gregor Gillespie,0,13 of 26,50%,30 of 48,7 of 9,77%,2,0,7:51,11 of 24,1 of 1,1 of 1,5 of 13,2 of 5,6 of 8,L,Vinc Pichel,0,7 of 22,31%,35 of 51,0 of 0,---,0,0,0:00,6 of 21,0 of 0,1 of 1,3 of 17,4 of 5,0 of 0
204,KO/TKO,1,4:46,W,Gregor Gillespie,0,34 of 55,61%,42 of 63,1 of 2,50%,0,0,3:43,31 of 51,1 of 2,2 of 2,5 of 19,1 of 1,28 of 35,L,Jordan Rinaldi,0,7 of 16,43%,7 of 16,0 of 0,---,0,0,0:00,5 of 14,1 of 1,1 of 1,7 of 16,0 of 0,0 of 0
205,Submission,2,7:11,W,Gregor Gillespie,1,20 of 56,35%,34 of 73,4 of 6,66%,1,0,5:48,19 of 53,1 of 3,0 of 0,12 of 34,1 of 6,7 of 16,L,Jason Gonzalez,0,22 of 43,51%,27 of 50,0 of 0,---,0,0,0:00,17 of 36,5 of 7,0 of 0,16 of 36,5 of 5,1 of 2
206,KO/TKO,1,0:21,W,Gregor Gillespie,1,8 of 12,66%,9 of 13,0 of 0,---,0,0,0:05,7 of 11,0 of 0,1 of 1,4 of 7,0 of 0,4 of 5,L,Andrew Holbrook,0,4 of 9,44%,4 of 9,0 of 0,---,0,0,0:00,3 of 8,1 of 1,0 of 0,4 of 9,0 of 0,0 of 0
