,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
250,KO/TKO,1,1:56,W,Falaniko Vitale,0,2 of 7,28%,6 of 11,0 of 1,0%,0,0,0:27,1 of 5,0 of 1,1 of 1,0 of 4,1 of 2,1 of 1,L,Matt Lindland,0,2 of 9,22%,6 of 13,0 of 3,0%,0,0,0:55,0 of 6,1 of 1,1 of 2,0 of 6,2 of 3,0 of 0
251,Decision - Unanimous,3,15:00,L,Bobby Voelker,0,37 of 94,39%,74 of 138,0 of 1,0%,0,2,2:17,19 of 71,12 of 16,6 of 7,26 of 77,10 of 13,1 of 4,W,Lance Benoist,0,56 of 102,54%,81 of 134,2 of 7,28%,0,0,7:03,43 of 86,12 of 15,1 of 1,32 of 74,7 of 9,17 of 19
252,Decision - Unanimous,3,15:00,L,Bobby Voelker,0,61 of 240,25%,72 of 251,0 of 2,0%,0,0,0:00,43 of 213,8 of 13,10 of 14,47 of 211,14 of 29,0 of 0,W,William Macario,0,133 of 210,63%,133 of 210,3 of 6,50%,0,0,1:08,90 of 164,22 of 24,21 of 22,95 of 163,37 of 45,1 of 2
253,KO/TKO,2,5:24,L,Bobby Voelker,0,10 of 42,23%,11 of 44,0 of 0,---,0,0,0:00,6 of 35,2 of 3,2 of 4,9 of 40,1 of 2,0 of 0,W,Robbie Lawler,1,28 of 46,60%,32 of 51,1 of 1,100%,0,0,1:13,22 of 39,5 of 6,1 of 1,21 of 37,6 of 7,1 of 2
254,Decision - Unanimous,3,15:00,L,Bobby Voelker,0,83 of 175,47%,153 of 265,4 of 5,80%,0,0,5:43,55 of 139,14 of 19,14 of 17,38 of 109,30 of 41,15 of 25,W,Patrick Cote,0,72 of 135,53%,97 of 162,0 of 6,0%,0,0,3:42,52 of 107,9 of 17,11 of 11,55 of 109,15 of 23,2 of 3
255,KO/TKO,2,7:16,W,Bobby Voelker,1,40 of 96,41%,50 of 107,0 of 0,---,0,0,--,34 of 90,4 of 4,2 of 2,27 of 79,5 of 8,8 of 9,L,Roger Bowling,0,48 of 88,54%,53 of 93,2 of 4,50%,0,0,--,19 of 48,18 of 28,11 of 12,38 of 74,10 of 14,0 of 0
256,Decision - Split,5,25:00,W,Alexander Volkanovski,0,137 of 272,50%,139 of 275,3 of 9,33%,0,0,1:26,64 of 161,6 of 10,67 of 101,136 of 265,1 of 6,0 of 1,L,Max Holloway,0,102 of 268,38%,111 of 277,0 of 0,---,0,0,0:00,44 of 167,27 of 46,31 of 55,95 of 258,7 of 10,0 of 0
257,Decision - Unanimous,5,25:00,W,Alexander Volkanovski,0,157 of 303,51%,157 of 303,0 of 4,0%,0,0,0:45,67 of 178,15 of 32,75 of 93,156 of 302,1 of 1,0 of 0,L,Max Holloway,0,134 of 303,44%,135 of 304,0 of 0,---,0,0,0:02,85 of 233,32 of 44,17 of 26,132 of 301,2 of 2,0 of 0
258,Decision - Unanimous,3,15:00,W,Alexander Volkanovski,0,95 of 176,53%,129 of 215,0 of 3,0%,0,0,4:25,28 of 93,17 of 24,50 of 59,67 of 147,28 of 29,0 of 0,L,Jose Aldo,0,29 of 79,36%,39 of 90,0 of 1,0%,0,0,0:07,19 of 63,7 of 12,3 of 4,26 of 76,3 of 3,0 of 0
259,KO/TKO,2,9:14,W,Alexander Volkanovski,1,54 of 124,43%,54 of 124,0 of 0,---,0,0,0:08,36 of 91,10 of 19,8 of 14,46 of 113,5 of 8,3 of 3,L,Chad Mendes,1,28 of 51,54%,28 of 51,3 of 4,75%,0,0,0:45,16 of 37,6 of 7,6 of 7,24 of 46,4 of 5,0 of 0
260,Decision - Unanimous,3,15:00,W,Alexander Volkanovski,2,100 of 144,69%,103 of 147,2 of 12,16%,3,0,3:27,76 of 118,11 of 13,13 of 13,81 of 118,18 of 25,1 of 1,L,Darren Elkins,0,82 of 172,47%,93 of 184,1 of 6,16%,0,0,0:59,66 of 147,15 of 24,1 of 1,67 of 148,15 of 24,0 of 0
261,KO/TKO,2,9:57,W,Alexander Volkanovski,0,73 of 120,60%,105 of 158,2 of 3,66%,0,0,7:55,57 of 103,10 of 10,6 of 7,4 of 9,5 of 8,64 of 103,L,Jeremy Kennedy,0,8 of 25,32%,11 of 29,0 of 3,0%,0,0,0:28,7 of 24,1 of 1,0 of 0,1 of 18,0 of 0,7 of 7
262,Decision - Unanimous,3,15:00,W,Alexander Volkanovski,0,68 of 114,59%,79 of 128,5 of 14,35%,0,0,8:22,36 of 78,11 of 13,21 of 23,40 of 71,14 of 25,14 of 18,L,Shane Young,0,18 of 81,22%,20 of 83,1 of 1,100%,0,0,0:16,11 of 67,5 of 10,2 of 4,15 of 75,3 of 6,0 of 0
263,Decision - Unanimous,3,15:00,W,Alexander Volkanovski,1,87 of 139,62%,93 of 145,4 of 7,57%,0,0,5:18,55 of 97,9 of 13,23 of 29,46 of 93,18 of 20,23 of 26,L,Mizuto Hirota,0,46 of 149,30%,51 of 155,0 of 5,0%,0,0,0:23,39 of 139,2 of 5,5 of 5,42 of 142,2 of 5,2 of 2
264,KO/TKO,2,7:06,W,Alexander Volkanovski,0,50 of 76,65%,55 of 81,3 of 3,100%,0,1,4:21,47 of 71,2 of 3,1 of 2,2 of 7,3 of 3,45 of 66,L,Yusuke Kasuya,0,4 of 10,40%,7 of 13,1 of 2,50%,0,1,1:39,2 of 6,2 of 4,0 of 0,3 of 8,1 of 2,0 of 0
265,Submission,3,14:25,L,Jacob Volkmann,0,6 of 51,11%,11 of 60,4 of 12,33%,0,0,5:37,4 of 37,1 of 6,1 of 8,3 of 44,0 of 0,3 of 7,W,Bobby Green,0,54 of 90,60%,69 of 106,1 of 1,100%,1,2,4:33,34 of 64,14 of 19,6 of 7,17 of 44,9 of 9,28 of 37
266,Submission,1,2:38,W,Jacob Volkmann,0,8 of 25,32%,14 of 32,1 of 4,25%,2,0,1:24,6 of 18,2 of 4,0 of 3,3 of 16,0 of 0,5 of 9,L,Shane Roller,0,0 of 7,0%,0 of 7,0 of 0,---,0,0,0:00,0 of 7,0 of 0,0 of 0,0 of 7,0 of 0,0 of 0
267,Submission,1,1:54,L,Jacob Volkmann,0,2 of 5,40%,3 of 6,0 of 0,---,0,0,1:31,1 of 3,1 of 1,0 of 1,2 of 5,0 of 0,0 of 0,W,Paul Sass,0,1 of 4,25%,2 of 7,0 of 0,---,2,0,0:01,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0
268,Decision - Unanimous,3,15:00,W,Jacob Volkmann,0,17 of 35,48%,85 of 108,3 of 9,33%,2,0,11:21,13 of 26,3 of 3,1 of 6,3 of 17,1 of 1,13 of 17,L,Efrain Escudero,0,7 of 18,38%,53 of 64,0 of 0,---,4,0,1:15,5 of 14,1 of 2,1 of 2,2 of 12,4 of 5,1 of 1
269,Decision - Unanimous,3,15:00,W,Jacob Volkmann,0,6 of 16,37%,39 of 51,3 of 5,60%,6,0,7:47,4 of 13,1 of 2,1 of 1,3 of 13,0 of 0,3 of 3,L,Danny Castillo,0,22 of 30,73%,47 of 57,1 of 4,25%,0,1,3:06,2 of 10,9 of 9,11 of 11,7 of 15,3 of 3,12 of 12
270,Decision - Split,3,15:00,W,Jacob Volkmann,0,10 of 47,21%,21 of 58,1 of 2,50%,2,0,4:24,3 of 37,2 of 2,5 of 8,7 of 44,0 of 0,3 of 3,L,Antonio McKee,0,25 of 55,45%,41 of 75,1 of 4,25%,0,1,2:48,14 of 43,8 of 9,3 of 3,17 of 44,4 of 5,4 of 6
271,Decision - Unanimous,3,15:00,W,Jacob Volkmann,0,32 of 79,40%,61 of 111,6 of 7,85%,2,1,7:52,25 of 70,2 of 2,5 of 7,7 of 29,1 of 1,24 of 49,L,Paul Kelly,0,24 of 61,39%,45 of 85,0 of 0,---,2,2,3:54,19 of 54,2 of 3,3 of 4,6 of 32,3 of 5,15 of 24
272,Decision - Split,3,15:00,W,Jacob Volkmann,0,24 of 57,42%,79 of 125,5 of 6,83%,0,0,10:01,19 of 52,5 of 5,0 of 0,3 of 24,1 of 1,20 of 32,L,Ronys Torres,0,20 of 50,40%,32 of 63,3 of 4,75%,0,1,3:07,13 of 42,2 of 2,5 of 6,8 of 27,7 of 16,5 of 7
