,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
185,Decision - Split,3,15:00,L,Mike de la Torre,0,57 of 177,32%,144 of 270,1 of 2,50%,0,0,1:08,43 of 159,13 of 17,1 of 1,38 of 157,18 of 19,1 of 1,W,Mark Bocek,0,70 of 171,40%,108 of 209,3 of 13,23%,0,0,6:14,45 of 136,17 of 25,8 of 10,31 of 121,39 of 50,0 of 0
186,Decision - Unanimous,3,15:00,L,Rodrigo de Lima,0,24 of 72,33%,32 of 83,3 of 8,37%,0,0,3:47,13 of 59,6 of 6,5 of 7,18 of 64,1 of 1,5 of 7,W,Efrain Escudero,1,94 of 129,72%,194 of 245,2 of 2,100%,0,0,6:11,74 of 108,14 of 15,6 of 6,44 of 72,16 of 16,34 of 41
187,KO/TKO,2,7:32,L,Rodrigo de Lima,0,5 of 14,35%,30 of 41,1 of 3,33%,2,1,3:42,0 of 8,1 of 2,4 of 4,3 of 12,0 of 0,2 of 2,W,Neil Magny,1,30 of 55,54%,31 of 57,2 of 2,100%,0,0,0:38,29 of 54,1 of 1,0 of 0,30 of 55,0 of 0,0 of 0
188,KO/TKO,1,1:45,L,Edilberto de Oliveira,0,5 of 16,31%,5 of 16,0 of 0,---,0,0,0:00,1 of 10,0 of 0,4 of 6,5 of 16,0 of 0,0 of 0,W,Luke Cummo,1,6 of 19,31%,6 of 19,0 of 0,---,0,0,0:02,4 of 14,2 of 5,0 of 0,5 of 18,0 of 0,1 of 1
189,KO/TKO,3,10:37,L,Edilberto de Oliveira,0,46 of 142,32%,46 of 142,0 of 5,0%,0,0,0:19,20 of 110,15 of 15,11 of 17,45 of 139,1 of 3,0 of 0,W,Paul Taylor,1,78 of 198,39%,80 of 200,0 of 0,---,0,0,0:08,44 of 153,6 of 7,28 of 38,71 of 183,4 of 5,3 of 10
190,Submission,1,3:12,L,Jorge de Oliveira,0,0 of 4,0%,11 of 16,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0,W,Christos Giagos,0,18 of 34,52%,37 of 54,1 of 1,100%,1,0,2:41,18 of 34,0 of 0,0 of 0,2 of 4,0 of 0,16 of 30
191,Decision - Unanimous,3,15:00,L,Jorge de Oliveira,0,23 of 68,33%,62 of 114,0 of 0,---,0,0,0:00,10 of 48,8 of 11,5 of 9,16 of 60,7 of 8,0 of 0,W,Dhiego Lima,0,70 of 137,51%,116 of 195,6 of 8,75%,4,0,9:41,64 of 129,5 of 6,1 of 2,19 of 46,1 of 1,50 of 90
192,Decision - Unanimous,3,15:00,L,Isabela de Padua,0,15 of 42,35%,90 of 128,2 of 3,66%,1,0,4:39,15 of 42,0 of 0,0 of 0,6 of 26,0 of 0,9 of 16,W,Ariane Lipski,1,31 of 63,49%,175 of 224,0 of 0,---,1,1,8:48,27 of 58,4 of 4,0 of 1,18 of 45,0 of 0,13 of 18
193,Submission,3,13:25,W,Germaine de Randamie,0,37 of 91,40%,57 of 119,0 of 0,---,2,0,0:48,32 of 86,5 of 5,0 of 0,32 of 84,4 of 6,1 of 1,L,Julianna Pena,0,27 of 91,29%,58 of 125,3 of 6,50%,0,0,5:55,19 of 79,7 of 10,1 of 2,18 of 75,2 of 2,7 of 14
194,Decision - Unanimous,5,25:00,L,Germaine de Randamie,0,40 of 73,54%,126 of 175,0 of 0,---,1,0,1:39,19 of 48,11 of 15,10 of 10,19 of 42,12 of 13,9 of 18,W,Amanda Nunes,0,79 of 184,42%,199 of 337,8 of 11,72%,2,0,18:30,63 of 162,4 of 6,12 of 16,15 of 46,2 of 3,62 of 135
195,KO/TKO,1,0:16,W,Germaine de Randamie,1,4 of 5,80%,4 of 5,0 of 0,---,0,0,0:01,3 of 4,1 of 1,0 of 0,3 of 4,0 of 0,1 of 1,L,Aspen Ladd,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
196,Decision - Unanimous,3,15:00,W,Germaine de Randamie,0,42 of 107,39%,91 of 159,0 of 0,---,0,0,1:06,17 of 73,17 of 24,8 of 10,25 of 84,17 of 23,0 of 0,L,Raquel Pennington,0,24 of 84,28%,52 of 130,0 of 8,0%,0,0,6:05,4 of 55,11 of 17,9 of 12,13 of 71,11 of 13,0 of 0
197,Decision - Unanimous,5,25:00,W,Germaine de Randamie,0,80 of 150,53%,144 of 223,0 of 1,0%,0,0,0:38,28 of 88,34 of 40,18 of 22,49 of 113,31 of 36,0 of 1,L,Holly Holm,0,77 of 182,42%,122 of 235,0 of 9,0%,0,0,8:17,18 of 99,21 of 37,38 of 46,61 of 161,16 of 21,0 of 0
198,KO/TKO,1,3:46,W,Germaine de Randamie,1,18 of 29,62%,23 of 34,0 of 0,---,0,0,0:34,9 of 19,9 of 10,0 of 0,7 of 16,11 of 13,0 of 0,L,Anna Elmose,0,6 of 10,60%,32 of 43,0 of 5,0%,0,0,1:54,2 of 3,2 of 5,2 of 2,2 of 4,4 of 6,0 of 0
199,KO/TKO,2,7:02,W,Germaine de Randamie,0,29 of 84,34%,31 of 86,0 of 0,---,0,0,0:05,26 of 76,0 of 2,3 of 6,28 of 83,1 of 1,0 of 0,L,Larissa Pacheco,0,8 of 60,13%,13 of 66,0 of 0,---,0,0,0:19,4 of 48,1 of 4,3 of 8,8 of 60,0 of 0,0 of 0
200,KO/TKO,1,3:56,L,Germaine de Randamie,0,1 of 6,16%,1 of 6,0 of 0,---,0,0,0:00,0 of 3,0 of 0,1 of 3,1 of 6,0 of 0,0 of 0,W,Amanda Nunes,0,14 of 57,24%,23 of 67,1 of 3,33%,0,0,2:42,14 of 53,0 of 0,0 of 4,0 of 5,0 of 0,14 of 52
201,Decision - Split,3,15:00,W,Germaine de Randamie,0,50 of 82,60%,82 of 115,0 of 0,---,0,0,3:51,9 of 40,24 of 24,17 of 18,16 of 45,34 of 37,0 of 0,L,Julie Kedzie,0,28 of 76,36%,73 of 127,2 of 9,22%,0,0,4:51,6 of 54,11 of 11,11 of 11,20 of 67,8 of 9,0 of 0
202,Decision - Unanimous,3,15:00,W,Germaine de Randamie,0,42 of 130,32%,67 of 158,0 of 1,0%,0,0,0:34,36 of 122,4 of 4,2 of 4,42 of 129,0 of 1,0 of 0,L,Hiroko Yamanaka,0,32 of 118,27%,34 of 120,0 of 6,0%,0,0,4:10,13 of 93,2 of 3,17 of 22,25 of 108,7 of 10,0 of 0
203,Decision - Unanimous,3,15:00,L,Germaine de Randamie,0,29 of 55,52%,91 of 127,0 of 0,---,0,1,--,23 of 46,6 of 9,0 of 0,6 of 10,12 of 14,11 of 31,W,Julia Budd,0,6 of 13,46%,77 of 105,6 of 11,54%,0,0,--,5 of 8,1 of 3,0 of 2,1 of 5,0 of 0,5 of 8
204,KO/TKO,1,4:25,W,Germaine de Randamie,1,17 of 20,85%,25 of 30,0 of 0,---,1,0,0:13,11 of 14,6 of 6,0 of 0,10 of 13,6 of 6,1 of 1,L,Stephanie Webber,0,4 of 5,80%,20 of 31,2 of 5,40%,0,0,3:27,4 of 5,0 of 0,0 of 0,0 of 1,0 of 0,4 of 4
205,Decision - Unanimous,3,15:00,L,Tom DeBlass,0,44 of 120,36%,67 of 144,0 of 0,---,0,0,0:00,26 of 98,9 of 11,9 of 11,35 of 111,9 of 9,0 of 0,W,Riki Fukuda,0,85 of 164,51%,229 of 325,3 of 5,60%,0,0,6:58,35 of 102,18 of 26,32 of 36,45 of 122,32 of 34,8 of 8
206,Decision - Majority,3,15:00,L,Tom DeBlass,0,1 of 6,16%,17 of 24,2 of 4,50%,1,2,7:19,1 of 5,0 of 1,0 of 0,1 of 6,0 of 0,0 of 0,W,Cyrille Diabate,0,48 of 50,96%,90 of 94,2 of 2,100%,0,1,5:26,31 of 33,15 of 15,2 of 2,12 of 13,0 of 0,36 of 37
207,KO/TKO,2,5:26,L,Shane del Rosario,0,14 of 25,56%,33 of 44,1 of 4,25%,2,0,3:19,1 of 9,8 of 11,5 of 5,4 of 12,10 of 13,0 of 0,W,Pat Barry,1,11 of 15,73%,11 of 15,0 of 0,---,0,0,0:19,8 of 11,0 of 1,3 of 3,11 of 13,0 of 0,0 of 2
208,KO/TKO,2,8:14,L,Shane del Rosario,0,32 of 49,65%,33 of 50,0 of 0,---,0,0,0:00,10 of 22,14 of 15,8 of 12,31 of 48,1 of 1,0 of 0,W,Stipe Miocic,0,32 of 84,38%,58 of 115,2 of 2,100%,0,0,2:58,26 of 76,4 of 5,2 of 3,21 of 72,0 of 0,11 of 12
209,Submission,1,4:31,W,Shane del Rosario,0,24 of 49,48%,45 of 72,1 of 1,100%,1,0,2:26,17 of 40,4 of 5,3 of 4,8 of 16,6 of 7,10 of 26,L,Lavar Johnson,0,10 of 27,37%,16 of 34,1 of 1,100%,0,0,0:54,4 of 19,3 of 5,3 of 3,8 of 19,2 of 4,0 of 4
210,KO/TKO,1,3:48,W,Shane del Rosario,0,26 of 36,72%,35 of 45,0 of 0,---,0,0,--,8 of 16,10 of 12,8 of 8,13 of 21,13 of 15,0 of 0,L,Lolohea Mahe,0,5 of 16,31%,10 of 21,0 of 0,---,0,0,--,1 of 12,2 of 2,2 of 2,2 of 13,3 of 3,0 of 0
211,Submission,1,2:57,W,Shane del Rosario,0,2 of 3,66%,10 of 11,0 of 0,---,1,0,--,0 of 1,1 of 1,1 of 1,1 of 2,1 of 1,0 of 0,L,Brandon Cash,1,16 of 22,72%,30 of 40,2 of 3,66%,0,0,--,12 of 18,4 of 4,0 of 0,2 of 2,0 of 0,14 of 20
212,KO/TKO,1,3:22,L,Rolando Delgado,0,11 of 45,24%,13 of 47,0 of 0,---,0,0,0:10,5 of 36,5 of 8,1 of 1,6 of 32,5 of 13,0 of 0,W,Andre Winner,2,14 of 28,50%,14 of 28,0 of 0,---,0,0,0:13,8 of 19,2 of 5,4 of 4,10 of 23,2 of 2,2 of 3
213,Decision - Unanimous,3,15:00,L,Rolando Delgado,0,14 of 28,50%,42 of 59,1 of 5,20%,3,1,4:03,6 of 16,6 of 9,2 of 3,10 of 24,2 of 2,2 of 2,W,Paul Kelly,0,32 of 74,43%,90 of 134,1 of 1,100%,2,2,7:54,27 of 68,2 of 2,3 of 4,2 of 22,0 of 1,30 of 51
214,Submission,2,7:18,W,Rolando Delgado,1,15 of 27,55%,44 of 59,1 of 4,25%,3,0,4:06,8 of 16,7 of 10,0 of 1,9 of 18,0 of 0,6 of 9,L,John Polakowski,0,1 of 23,4%,4 of 28,0 of 0,---,1,0,0:21,1 of 22,0 of 1,0 of 0,1 of 23,0 of 0,0 of 0
215,Submission,1,1:06,L,Roland Delorme,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:00,1 of 3,0 of 1,0 of 0,1 of 4,0 of 0,0 of 0,W,Yuta Sasaki,0,5 of 8,62%,5 of 8,0 of 1,0%,1,0,0:32,5 of 8,0 of 0,0 of 0,5 of 8,0 of 0,0 of 0
