,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
320,Submission,1,1:26,W,Warlley Alves,0,2 of 4,50%,2 of 4,0 of 0,---,1,0,0:00,0 of 2,1 of 1,1 of 1,2 of 3,0 of 1,0 of 0,L,Colby Covington,0,2 of 2,100%,2 of 2,1 of 2,50%,0,0,1:03,2 of 2,0 of 0,0 of 0,0 of 0,1 of 1,1 of 1
321,Submission,2,9:11,W,Warlley Alves,0,17 of 38,44%,23 of 46,2 of 3,66%,1,0,4:18,9 of 29,4 of 5,4 of 4,12 of 31,3 of 3,2 of 4,L,Nordine Taleb,0,17 of 34,50%,30 of 47,0 of 2,0%,0,0,1:05,8 of 23,5 of 6,4 of 5,13 of 28,4 of 6,0 of 0
322,Decision - Unanimous,3,15:00,W,Warlley Alves,0,47 of 106,44%,51 of 111,1 of 1,100%,1,0,4:00,40 of 96,6 of 9,1 of 1,31 of 81,4 of 9,12 of 16,L,Alan Jouban,0,79 of 156,50%,96 of 173,0 of 0,---,0,0,0:35,54 of 120,14 of 22,11 of 14,71 of 143,8 of 13,0 of 0
323,Submission,3,10:25,W,Warlley Alves,1,19 of 39,48%,44 of 67,2 of 3,66%,1,0,7:38,12 of 29,4 of 6,3 of 4,7 of 15,3 of 8,9 of 16,L,Marcio Alexandre Junior,0,8 of 21,38%,22 of 36,0 of 1,0%,0,0,0:05,1 of 11,7 of 10,0 of 0,2 of 15,6 of 6,0 of 0
324,Decision - Split,3,15:00,D,Sam Alvey,0,59 of 166,35%,69 of 177,0 of 0,---,0,0,0:05,38 of 140,3 of 8,18 of 18,56 of 162,2 of 3,1 of 1,D,Da-Un Jung,1,56 of 126,44%,61 of 133,0 of 3,0%,0,0,2:25,43 of 108,5 of 10,8 of 8,46 of 114,6 of 8,4 of 4
325,Decision - Split,3,15:00,L,Sam Alvey,0,57 of 108,52%,103 of 156,0 of 0,---,0,0,0:29,40 of 90,3 of 3,14 of 15,46 of 94,11 of 14,0 of 0,W,Ryan Spann,0,51 of 115,44%,52 of 116,2 of 7,28%,1,0,3:01,41 of 102,10 of 13,0 of 0,48 of 109,3 of 6,0 of 0
326,Decision - Unanimous,3,15:00,L,Sam Alvey,0,28 of 77,36%,67 of 117,0 of 1,0%,0,1,2:33,12 of 53,5 of 12,11 of 12,21 of 69,4 of 4,3 of 4,W,Klidson Abreu,0,36 of 89,40%,61 of 115,1 of 3,33%,0,0,0:52,17 of 60,4 of 13,15 of 16,35 of 85,1 of 4,0 of 0
327,KO/TKO,1,2:49,L,Sam Alvey,0,3 of 14,21%,3 of 14,0 of 1,0%,0,0,0:00,3 of 14,0 of 0,0 of 0,3 of 14,0 of 0,0 of 0,W,Jimmy Crute,1,14 of 32,43%,17 of 36,0 of 0,---,0,0,0:08,7 of 23,2 of 3,5 of 6,9 of 23,0 of 0,5 of 9
328,KO/TKO,2,6:00,L,Sam Alvey,0,34 of 82,41%,34 of 82,0 of 0,---,0,0,0:00,20 of 67,2 of 2,12 of 13,32 of 79,2 of 3,0 of 0,W,Rogerio Nogueira,1,26 of 52,50%,26 of 53,0 of 0,---,0,0,0:03,20 of 44,5 of 7,1 of 1,20 of 42,4 of 7,2 of 3
329,Decision - Split,3,15:00,W,Sam Alvey,1,53 of 122,43%,59 of 128,0 of 0,---,0,0,0:00,40 of 104,2 of 4,11 of 14,49 of 112,4 of 9,0 of 1,L,Gian Villante,0,50 of 133,37%,50 of 133,0 of 0,---,0,0,0:06,20 of 91,12 of 23,18 of 19,50 of 133,0 of 0,0 of 0
