,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
308,Decision - Unanimous,5,25:00,L,Hermes Franca,1,6 of 23,26%,59 of 79,0 of 0,---,3,1,0:41,5 of 22,0 of 0,1 of 1,4 of 17,1 of 3,1 of 3,W,Sean Sherk,0,35 of 55,63%,215 of 249,16 of 19,84%,2,1,22:22,24 of 44,10 of 10,1 of 1,2 of 13,1 of 1,32 of 41
309,KO/TKO,2,9:03,W,Hermes Franca,0,25 of 80,31%,57 of 118,2 of 5,40%,2,1,3:53,23 of 76,2 of 4,0 of 0,12 of 43,5 of 10,8 of 27,L,Spencer Fisher,0,24 of 61,39%,52 of 90,0 of 0,---,0,0,0:04,10 of 43,8 of 11,6 of 7,22 of 53,1 of 7,1 of 1
310,Submission,2,7:46,W,Hermes Franca,0,22 of 49,44%,38 of 66,0 of 2,0%,2,0,--,16 of 41,2 of 4,4 of 4,9 of 19,3 of 5,10 of 25,L,Nate Diaz,0,54 of 91,59%,83 of 123,2 of 4,50%,0,0,--,36 of 69,7 of 11,11 of 11,22 of 41,21 of 35,11 of 15
311,Submission,3,13:31,W,Hermes Franca,0,22 of 46,47%,97 of 125,1 of 2,50%,3,2,1:09,13 of 37,4 of 4,5 of 5,14 of 28,6 of 10,2 of 8,L,Jamie Varner,0,18 of 106,16%,41 of 129,9 of 15,60%,0,0,7:10,14 of 101,1 of 1,3 of 4,1 of 37,1 of 3,16 of 66
312,Submission,3,10:47,W,Hermes Franca,0,46 of 113,40%,71 of 138,3 of 9,33%,1,0,1:22,33 of 99,8 of 8,5 of 6,38 of 100,7 of 11,1 of 2,L,Joe Jordan,0,20 of 78,25%,31 of 89,0 of 0,---,0,0,1:07,6 of 62,0 of 1,14 of 15,12 of 67,6 of 7,2 of 4
313,Decision - Split,3,15:00,L,Hermes Franca,0,8 of 44,18%,63 of 104,4 of 10,40%,2,1,3:47,6 of 39,0 of 1,2 of 4,5 of 38,2 of 4,1 of 2,W,Yves Edwards,0,21 of 43,48%,66 of 92,0 of 0,---,1,1,4:51,9 of 29,2 of 2,10 of 12,13 of 23,0 of 2,8 of 18
314,Decision - Majority,3,15:00,L,Hermes Franca,1,22 of 46,47%,60 of 87,2 of 3,66%,1,0,5:19,19 of 40,3 of 3,0 of 3,6 of 20,4 of 5,12 of 21,W,Josh Thomson,0,40 of 68,58%,82 of 112,2 of 3,66%,0,0,4:05,16 of 38,4 of 6,20 of 24,26 of 51,8 of 9,6 of 8
315,KO/TKO,2,7:46,W,Hermes Franca,1,13 of 22,59%,35 of 44,2 of 2,100%,1,0,1:24,12 of 21,1 of 1,0 of 0,3 of 6,6 of 10,4 of 6,L,Caol Uno,0,32 of 49,65%,52 of 71,1 of 4,25%,0,0,4:41,8 of 23,5 of 5,19 of 21,3 of 4,11 of 12,18 of 33
316,Decision - Unanimous,3,15:00,W,Hermes Franca,1,27 of 54,50%,97 of 125,2 of 11,18%,9,0,0:43,20 of 47,4 of 4,3 of 3,20 of 43,7 of 10,0 of 1,L,Richard Crunkilton,0,29 of 89,32%,77 of 148,4 of 7,57%,0,0,7:21,22 of 78,2 of 4,5 of 7,16 of 61,1 of 6,12 of 22
317,Decision - Unanimous,3,15:00,L,Glaico Franca Moreira,0,43 of 102,42%,71 of 133,0 of 0,---,0,0,0:03,42 of 98,1 of 4,0 of 0,15 of 68,27 of 33,1 of 1,W,Gregor Gillespie,0,41 of 90,45%,109 of 172,5 of 19,26%,0,0,11:00,35 of 83,0 of 1,6 of 6,23 of 63,3 of 5,15 of 22
318,Decision - Unanimous,3,15:00,L,Glaico Franca Moreira,0,39 of 114,34%,67 of 145,4 of 10,40%,0,0,5:29,20 of 89,7 of 10,12 of 15,38 of 112,0 of 0,1 of 2,W,James Vick,0,94 of 172,54%,140 of 218,0 of 0,---,0,0,0:37,82 of 157,9 of 12,3 of 3,94 of 171,0 of 1,0 of 0
319,Submission,3,14:46,W,Glaico Franca Moreira,0,23 of 31,74%,47 of 57,4 of 9,44%,1,0,6:40,6 of 12,8 of 8,9 of 11,13 of 19,5 of 5,5 of 7,L,Fernando Bruno,0,20 of 32,62%,41 of 53,2 of 11,18%,0,0,5:36,14 of 25,5 of 5,1 of 2,12 of 20,8 of 12,0 of 0
320,Submission,3,14:50,L,John Franchi,0,38 of 85,44%,69 of 120,4 of 6,66%,0,0,4:06,14 of 57,4 of 6,20 of 22,19 of 60,17 of 23,2 of 2,W,Cub Swanson,0,49 of 90,54%,76 of 122,3 of 3,100%,1,0,4:30,38 of 73,5 of 7,6 of 10,24 of 50,10 of 15,15 of 25
321,Decision - Unanimous,3,15:00,L,John Franchi,0,23 of 45,51%,74 of 102,0 of 0,---,0,0,0:53,12 of 32,4 of 6,7 of 7,15 of 35,5 of 5,3 of 5,W,Manvel Gamburyan,0,56 of 111,50%,159 of 225,3 of 7,42%,1,1,10:11,44 of 96,6 of 8,6 of 7,0 of 15,0 of 2,56 of 94
322,Decision - Split,3,15:00,W,John Franchi,0,21 of 38,55%,85 of 110,4 of 4,100%,1,0,--,13 of 29,7 of 8,1 of 1,5 of 11,4 of 5,12 of 22,L,Mike Budnik,0,11 of 25,44%,48 of 63,0 of 0,---,3,3,--,8 of 22,1 of 1,2 of 2,3 of 11,1 of 3,7 of 11
323,KO/TKO,1,2:17,L,Rich Franklin,0,12 of 21,57%,12 of 21,0 of 0,---,0,0,0:00,6 of 14,0 of 0,6 of 7,12 of 21,0 of 0,0 of 0,W,Cung Le,1,8 of 16,50%,8 of 16,0 of 0,---,0,0,0:02,4 of 11,2 of 3,2 of 2,8 of 16,0 of 0,0 of 0
324,Decision - Unanimous,5,25:00,W,Rich Franklin,0,122 of 336,36%,126 of 342,1 of 2,50%,0,0,0:47,97 of 305,22 of 28,3 of 3,118 of 328,0 of 0,4 of 8,L,Wanderlei Silva,1,58 of 187,31%,80 of 213,0 of 0,---,0,0,0:39,51 of 174,3 of 9,4 of 4,47 of 171,1 of 2,10 of 14
325,Decision - Unanimous,3,15:00,L,Rich Franklin,0,33 of 104,31%,40 of 112,1 of 2,50%,0,0,0:21,21 of 89,10 of 13,2 of 2,30 of 100,3 of 4,0 of 0,W,Forrest Griffin,0,50 of 155,32%,126 of 249,5 of 7,71%,0,0,5:53,28 of 120,12 of 20,10 of 15,33 of 119,3 of 5,14 of 31
326,KO/TKO,1,4:55,W,Rich Franklin,1,24 of 52,46%,27 of 55,0 of 0,---,0,0,0:05,14 of 40,4 of 5,6 of 7,20 of 46,2 of 4,2 of 2,L,Chuck Liddell,0,17 of 41,41%,19 of 44,1 of 1,100%,0,0,0:29,12 of 35,2 of 2,3 of 4,14 of 36,2 of 4,1 of 1
327,KO/TKO,1,3:02,L,Rich Franklin,0,4 of 19,21%,4 of 19,0 of 1,0%,0,0,0:00,0 of 14,2 of 3,2 of 2,4 of 19,0 of 0,0 of 0,W,Vitor Belfort,0,9 of 22,40%,9 of 22,0 of 0,---,0,0,0:04,7 of 19,0 of 1,2 of 2,5 of 17,0 of 0,4 of 5
328,Decision - Unanimous,3,15:00,W,Rich Franklin,0,52 of 150,34%,67 of 167,1 of 2,50%,0,0,1:18,32 of 125,13 of 17,7 of 8,45 of 136,4 of 7,3 of 7,L,Wanderlei Silva,0,38 of 137,27%,55 of 157,1 of 1,100%,0,0,1:32,26 of 118,4 of 6,8 of 13,28 of 119,8 of 13,2 of 5
