,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
42,Submission,3,12:04,L,Jeremy Jackson,0,9 of 37,24%,71 of 103,0 of 0,---,0,1,3:28,9 of 37,0 of 0,0 of 0,0 of 7,1 of 5,8 of 25,W,Nick Diaz,0,17 of 24,70%,92 of 107,6 of 13,46%,2,0,6:43,14 of 20,3 of 4,0 of 0,1 of 3,0 of 0,16 of 21
43,Submission,3,11:21,W,Damon Jackson,0,12 of 26,46%,20 of 34,0 of 0,---,7,1,0:56,10 of 23,2 of 3,0 of 0,2 of 12,3 of 3,7 of 11,L,Mirsad Bektic,0,13 of 21,61%,76 of 102,7 of 9,77%,0,0,9:24,9 of 16,1 of 2,3 of 3,4 of 10,0 of 1,9 of 10
44,Decision - Majority,3,15:00,D,Damon Jackson,0,44 of 131,33%,85 of 175,0 of 6,0%,0,0,6:39,22 of 104,19 of 23,3 of 4,24 of 99,19 of 31,1 of 1,D,Levan Makashvili,0,65 of 114,57%,102 of 153,2 of 5,40%,0,0,2:01,32 of 77,29 of 30,4 of 7,26 of 67,38 of 46,1 of 1
45,Overturned,1,3:31,NC,Damon Jackson,0,5 of 13,38%,13 of 22,3 of 4,75%,0,0,2:22,5 of 13,0 of 0,0 of 0,0 of 7,2 of 3,3 of 3,NC,Rony Jason,0,5 of 7,71%,12 of 14,0 of 0,---,1,0,0:11,1 of 2,3 of 4,1 of 1,2 of 4,3 of 3,0 of 0
46,Submission,2,6:54,L,Damon Jackson,0,20 of 49,40%,22 of 51,0 of 5,0%,0,0,2:19,11 of 34,5 of 11,4 of 4,15 of 40,5 of 9,0 of 0,W,Yancy Medeiros,0,29 of 55,52%,36 of 62,0 of 0,---,2,0,0:39,16 of 38,11 of 15,2 of 2,21 of 45,8 of 10,0 of 0
47,Decision - Unanimous,3,15:00,W,Mike Jackson,0,64 of 108,59%,129 of 177,1 of 1,100%,0,0,7:26,54 of 95,10 of 12,0 of 1,32 of 66,14 of 16,18 of 26,L,CM Punk,0,19 of 81,23%,56 of 129,1 of 9,11%,0,1,2:52,10 of 63,7 of 13,2 of 5,10 of 67,7 of 11,2 of 3
48,Submission,1,0:45,L,Mike Jackson,0,3 of 6,50%,3 of 6,0 of 0,---,0,0,0:00,3 of 5,0 of 1,0 of 0,3 of 6,0 of 0,0 of 0,W,Mickey Gall,1,2 of 4,50%,3 of 5,0 of 0,---,1,0,0:14,2 of 4,0 of 0,0 of 0,1 of 3,0 of 0,1 of 1
49,Decision - Unanimous,3,15:00,L,Montel Jackson,1,26 of 44,59%,80 of 99,2 of 3,66%,0,1,2:41,18 of 35,6 of 6,2 of 3,14 of 31,5 of 5,7 of 8,W,Brett Johns,0,11 of 19,57%,30 of 39,8 of 19,42%,1,0,8:42,7 of 14,2 of 3,2 of 2,4 of 11,6 of 6,1 of 2
50,Decision - Unanimous,3,15:00,W,Montel Jackson,1,75 of 103,72%,96 of 130,11 of 15,73%,0,0,10:37,64 of 91,9 of 10,2 of 2,32 of 47,43 of 55,0 of 1,L,Felipe Colares,0,7 of 28,25%,8 of 31,1 of 8,12%,3,0,1:22,2 of 17,4 of 8,1 of 3,6 of 23,1 of 5,0 of 0
51,Decision - Unanimous,3,15:00,W,Montel Jackson,0,64 of 107,59%,160 of 218,3 of 4,75%,0,1,7:44,38 of 78,17 of 19,9 of 10,38 of 78,11 of 14,15 of 15,L,Andre Soukhamthath,0,30 of 62,48%,41 of 73,1 of 1,100%,0,0,0:05,6 of 33,7 of 10,17 of 19,26 of 58,4 of 4,0 of 0
52,Submission,1,1:40,W,Montel Jackson,0,10 of 16,62%,16 of 27,0 of 0,---,1,0,0:16,6 of 11,2 of 3,2 of 2,7 of 12,1 of 1,2 of 3,L,Brian Kelleher,0,6 of 10,60%,6 of 10,0 of 1,0%,0,0,0:05,0 of 3,0 of 1,6 of 6,6 of 10,0 of 0,0 of 0
53,Decision - Unanimous,3,15:00,L,Montel Jackson,0,42 of 94,44%,55 of 107,2 of 2,100%,0,0,0:45,27 of 76,13 of 15,2 of 3,23 of 66,16 of 23,3 of 5,W,Ricky Simon,0,25 of 53,47%,44 of 75,7 of 20,35%,0,0,5:37,7 of 31,10 of 14,8 of 8,18 of 44,7 of 8,0 of 1
54,KO/TKO,1,2:38,W,Dustin Jacoby,2,22 of 38,57%,22 of 38,0 of 0,---,0,0,0:11,10 of 22,2 of 5,10 of 11,17 of 29,0 of 1,5 of 8,L,Justin Ledet,0,10 of 31,32%,10 of 31,0 of 0,---,0,0,0:00,8 of 29,0 of 0,2 of 2,10 of 30,0 of 1,0 of 0
55,Submission,3,11:08,L,Dustin Jacoby,0,30 of 126,23%,31 of 127,0 of 0,---,0,0,0:00,16 of 100,7 of 16,7 of 10,29 of 124,1 of 2,0 of 0,W,Chris Camozzi,0,44 of 128,34%,44 of 128,0 of 1,0%,2,0,0:06,24 of 103,4 of 8,16 of 17,42 of 122,2 of 5,0 of 1
56,Decision - Unanimous,3,15:00,L,Dustin Jacoby,0,18 of 72,25%,35 of 89,0 of 0,---,0,0,0:00,14 of 67,4 of 4,0 of 1,17 of 71,1 of 1,0 of 0,W,Clifford Starks,0,26 of 82,31%,81 of 147,3 of 3,100%,0,0,5:52,23 of 76,3 of 6,0 of 0,19 of 65,0 of 1,7 of 16
