,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
449,KO/TKO,1,0:47,L,Ricardo Romero,0,0 of 3,0%,0 of 3,0 of 3,0%,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,W,James Te Huna,1,5 of 7,71%,6 of 9,0 of 0,---,0,0,0:10,5 of 7,0 of 0,0 of 0,1 of 1,0 of 2,4 of 4
450,KO/TKO,1,0:21,L,Ricardo Romero,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,W,Kyle Kingsbury,1,9 of 13,69%,12 of 16,0 of 0,---,0,0,0:07,5 of 9,3 of 3,1 of 1,2 of 3,5 of 6,2 of 4
451,Submission,2,8:05,W,Ricardo Romero,0,19 of 30,63%,24 of 36,1 of 7,14%,2,1,3:59,13 of 24,6 of 6,0 of 0,6 of 14,0 of 1,13 of 15,L,Seth Petruzelli,1,30 of 62,48%,42 of 76,0 of 1,0%,2,0,1:11,26 of 57,3 of 3,1 of 2,12 of 33,7 of 10,11 of 19
452,Decision - Unanimous,5,25:00,L,Yoel Romero,0,40 of 89,44%,40 of 89,0 of 3,0%,0,0,0:00,20 of 58,7 of 13,13 of 18,35 of 82,5 of 7,0 of 0,W,Israel Adesanya,0,48 of 132,36%,48 of 132,0 of 0,---,0,0,0:00,14 of 81,9 of 22,25 of 29,48 of 132,0 of 0,0 of 0
453,Decision - Unanimous,3,15:00,L,Yoel Romero,1,125 of 284,44%,125 of 284,1 of 4,25%,0,0,0:13,96 of 244,11 of 20,18 of 20,118 of 276,7 of 8,0 of 0,W,Paulo Costa,1,118 of 213,55%,118 of 213,0 of 0,---,0,0,0:06,67 of 148,46 of 58,5 of 7,110 of 202,5 of 5,3 of 6
454,Decision - Split,5,25:00,L,Yoel Romero,2,111 of 240,46%,149 of 287,3 of 10,30%,0,0,4:21,76 of 194,19 of 27,16 of 19,66 of 177,25 of 40,20 of 23,W,Robert Whittaker,0,128 of 326,39%,129 of 328,0 of 1,0%,0,0,0:37,57 of 225,23 of 39,48 of 62,119 of 308,9 of 17,0 of 1
455,KO/TKO,3,11:48,W,Yoel Romero,1,45 of 92,48%,52 of 99,0 of 0,---,0,0,0:08,23 of 60,10 of 17,12 of 15,31 of 73,13 of 18,1 of 1,L,Luke Rockhold,0,45 of 119,37%,45 of 119,0 of 0,---,0,0,0:00,22 of 87,10 of 15,13 of 17,44 of 118,1 of 1,0 of 0
456,Decision - Unanimous,5,25:00,L,Yoel Romero,0,48 of 107,44%,114 of 175,4 of 18,22%,0,0,5:15,20 of 68,12 of 18,16 of 21,41 of 100,3 of 3,4 of 4,W,Robert Whittaker,0,74 of 221,33%,94 of 244,0 of 0,---,0,0,1:34,46 of 163,23 of 52,5 of 6,59 of 195,7 of 12,8 of 14
457,KO/TKO,3,10:24,W,Yoel Romero,1,18 of 40,45%,27 of 51,2 of 3,66%,0,0,1:53,13 of 32,2 of 3,3 of 5,9 of 24,1 of 2,8 of 14,L,Chris Weidman,0,12 of 47,25%,16 of 54,1 of 8,12%,0,0,0:25,2 of 22,6 of 15,4 of 10,12 of 46,0 of 1,0 of 0
458,Decision - Split,3,15:00,W,Yoel Romero,1,46 of 92,50%,56 of 104,0 of 1,0%,0,0,1:58,37 of 80,5 of 6,4 of 6,24 of 50,0 of 1,22 of 41,L,Jacare Souza,0,30 of 52,57%,42 of 67,1 of 7,14%,0,0,2:33,16 of 35,11 of 14,3 of 3,22 of 44,0 of 0,8 of 8
459,KO/TKO,3,11:38,W,Yoel Romero,0,42 of 70,60%,44 of 72,1 of 2,50%,0,0,0:05,16 of 31,9 of 18,17 of 21,35 of 63,1 of 1,6 of 6,L,Lyoto Machida,0,31 of 64,48%,31 of 64,0 of 0,---,0,0,0:00,6 of 27,11 of 20,14 of 17,31 of 63,0 of 1,0 of 0
460,KO/TKO,3,10:58,W,Yoel Romero,2,39 of 80,48%,51 of 93,3 of 4,75%,0,0,2:06,28 of 62,3 of 6,8 of 12,25 of 58,5 of 8,9 of 14,L,Tim Kennedy,0,30 of 86,34%,32 of 88,0 of 6,0%,1,0,0:01,17 of 58,9 of 21,4 of 7,21 of 71,9 of 15,0 of 0
461,Decision - Unanimous,3,15:00,W,Yoel Romero,0,31 of 48,64%,63 of 81,7 of 12,58%,0,0,6:45,14 of 27,6 of 7,11 of 14,20 of 34,10 of 13,1 of 1,L,Brad Tavares,0,21 of 70,30%,35 of 87,0 of 3,0%,0,0,1:08,9 of 52,3 of 8,9 of 10,16 of 63,5 of 7,0 of 0
462,KO/TKO,3,13:23,W,Yoel Romero,0,60 of 94,63%,87 of 122,0 of 4,0%,0,0,0:53,27 of 54,25 of 32,8 of 8,31 of 59,6 of 8,23 of 27,L,Derek Brunson,0,38 of 94,40%,56 of 112,3 of 5,60%,0,0,2:56,20 of 68,1 of 6,17 of 20,35 of 84,1 of 4,2 of 6
463,KO/TKO,3,11:39,W,Yoel Romero,1,50 of 104,48%,52 of 107,0 of 1,0%,0,0,0:49,27 of 68,9 of 12,14 of 24,44 of 91,4 of 8,2 of 5,L,Ronny Markes,0,18 of 75,24%,22 of 79,2 of 6,33%,0,0,0:48,9 of 57,5 of 9,4 of 9,17 of 69,0 of 4,1 of 2
464,KO/TKO,1,1:32,W,Yoel Romero,1,12 of 12,100%,12 of 12,0 of 1,0%,0,0,0:03,6 of 6,1 of 1,5 of 5,8 of 8,0 of 0,4 of 4,L,Clifford Starks,0,3 of 18,16%,3 of 18,0 of 0,---,0,0,0:00,1 of 14,1 of 3,1 of 1,3 of 18,0 of 0,0 of 0
465,KO/TKO,2,9:51,L,Yoel Romero,0,26 of 60,43%,29 of 63,0 of 6,0%,0,0,1:14,17 of 49,8 of 10,1 of 1,9 of 23,16 of 36,1 of 1,W,Rafael Cavalcante,2,17 of 46,36%,21 of 51,1 of 1,100%,0,0,0:20,10 of 35,4 of 6,3 of 5,11 of 32,1 of 7,5 of 7
466,Submission,1,2:29,L,Mara Romero Borella,0,6 of 9,66%,15 of 21,1 of 2,50%,0,0,2:00,5 of 7,0 of 1,1 of 1,4 of 7,0 of 0,2 of 2,W,Mayra Bueno Silva,0,2 of 7,28%,3 of 8,0 of 0,---,1,0,0:00,1 of 5,0 of 1,1 of 1,2 of 7,0 of 0,0 of 0
467,Submission,1,3:36,L,Mara Romero Borella,0,5 of 7,71%,21 of 24,1 of 2,50%,0,0,2:55,2 of 4,1 of 1,2 of 2,2 of 4,2 of 2,1 of 1,W,Cortney Casey,0,6 of 12,50%,18 of 24,0 of 0,---,2,0,0:00,4 of 8,1 of 1,1 of 3,2 of 7,1 of 2,3 of 3
468,Decision - Unanimous,3,15:00,L,Mara Romero Borella,0,23 of 53,43%,64 of 99,1 of 2,50%,0,0,1:48,15 of 44,3 of 4,5 of 5,15 of 44,5 of 6,3 of 3,W,Montana De La Rosa,1,27 of 67,40%,74 of 128,1 of 3,33%,1,0,8:30,15 of 51,8 of 10,4 of 6,14 of 51,4 of 6,9 of 10
469,KO/TKO,3,11:46,L,Mara Romero Borella,0,22 of 72,30%,35 of 87,1 of 3,33%,0,0,0:46,16 of 62,0 of 0,6 of 10,22 of 72,0 of 0,0 of 0,W,Lauren Murphy,1,24 of 123,19%,35 of 144,0 of 1,0%,0,0,2:16,20 of 117,3 of 5,1 of 1,17 of 112,3 of 6,4 of 5
470,Decision - Split,3,15:00,W,Mara Romero Borella,0,29 of 83,34%,84 of 140,2 of 5,40%,0,0,5:56,14 of 64,7 of 9,8 of 10,15 of 62,5 of 9,9 of 12,L,Taila Santos,0,36 of 100,36%,57 of 123,1 of 1,100%,2,0,2:45,17 of 69,10 of 20,9 of 11,27 of 89,9 of 11,0 of 0
471,Decision - Unanimous,3,15:00,L,Mara Romero Borella,0,79 of 211,37%,80 of 214,1 of 3,33%,0,0,0:35,46 of 170,3 of 6,30 of 35,78 of 210,1 of 1,0 of 0,W,Katlyn Chookagian,0,68 of 252,26%,71 of 257,0 of 1,0%,1,0,0:00,37 of 212,22 of 31,9 of 9,63 of 247,5 of 5,0 of 0
472,Submission,1,2:54,W,Mara Romero Borella,0,3 of 5,60%,16 of 18,1 of 1,100%,1,0,2:42,2 of 4,0 of 0,1 of 1,1 of 3,0 of 0,2 of 2,L,Kalindra Faria,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0
473,Submission,1,2:48,W,Jesse Ronson,1,30 of 45,66%,31 of 46,0 of 0,---,1,0,0:21,22 of 34,1 of 4,7 of 7,21 of 32,2 of 5,7 of 8,L,Nicolas Dalby,0,20 of 50,40%,20 of 53,0 of 0,---,0,0,0:26,10 of 38,8 of 10,2 of 2,17 of 44,3 of 6,0 of 0
474,Decision - Split,3,15:00,L,Jesse Ronson,0,48 of 100,48%,51 of 105,1 of 2,50%,1,0,0:40,27 of 72,9 of 12,12 of 16,45 of 93,3 of 7,0 of 0,W,Kevin Lee,0,49 of 110,44%,66 of 128,4 of 12,33%,0,1,7:07,33 of 90,16 of 20,0 of 0,36 of 94,7 of 10,6 of 6
475,Decision - Split,3,15:00,L,Jesse Ronson,0,53 of 126,42%,56 of 129,0 of 2,0%,0,0,0:36,21 of 82,18 of 29,14 of 15,46 of 117,7 of 9,0 of 0,W,Francisco Trinaldo,0,55 of 148,37%,61 of 154,1 of 4,25%,0,0,1:58,23 of 110,15 of 18,17 of 20,38 of 126,8 of 13,9 of 9
476,Decision - Split,3,15:00,L,Jesse Ronson,0,38 of 73,52%,41 of 76,1 of 1,100%,0,0,0:46,15 of 46,10 of 14,13 of 13,27 of 58,3 of 4,8 of 11,W,Michel Prazeres,0,19 of 43,44%,50 of 77,7 of 15,46%,0,0,8:36,16 of 38,1 of 3,2 of 2,14 of 36,2 of 4,3 of 3
