,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
45,KO/TKO,1,0:42,W,Zhang Weili,1,29 of 38,76%,29 of 38,0 of 0,---,0,0,0:01,16 of 25,7 of 7,6 of 6,15 of 23,13 of 13,1 of 2,L,Jessica Andrade,0,4 of 12,33%,4 of 12,0 of 0,---,0,0,0:05,2 of 9,1 of 2,1 of 1,3 of 11,1 of 1,0 of 0
46,Decision - Unanimous,3,15:00,W,Zhang Weili,0,63 of 142,44%,118 of 204,2 of 8,25%,0,1,4:40,29 of 76,6 of 21,28 of 45,43 of 117,6 of 8,14 of 17,L,Tecia Torres,0,30 of 62,48%,33 of 65,0 of 1,0%,0,0,1:08,14 of 41,5 of 7,11 of 14,25 of 54,2 of 3,3 of 5
47,Submission,1,3:41,W,Zhang Weili,0,45 of 58,77%,63 of 79,1 of 3,33%,2,0,2:30,36 of 48,7 of 8,2 of 2,3 of 9,3 of 3,39 of 46,L,Jessica Aguilar,0,9 of 12,75%,11 of 14,0 of 1,0%,0,0,0:47,0 of 2,8 of 9,1 of 1,0 of 2,9 of 10,0 of 0
48,Decision - Unanimous,3,15:00,W,Zhang Weili,0,77 of 194,39%,83 of 200,1 of 2,50%,0,0,0:48,31 of 107,15 of 30,31 of 57,71 of 185,4 of 7,2 of 2,L,Danielle Taylor,0,34 of 123,27%,35 of 124,0 of 1,0%,1,0,0:00,22 of 104,8 of 11,4 of 8,31 of 120,3 of 3,0 of 0
49,Decision - Unanimous,3,15:00,L,Yao Zhikui,0,29 of 124,23%,33 of 128,1 of 6,16%,0,0,1:55,15 of 101,4 of 7,10 of 16,20 of 111,1 of 1,8 of 12,W,Jenel Lausa,2,56 of 109,51%,70 of 126,1 of 1,100%,1,0,0:51,53 of 102,3 of 7,0 of 0,53 of 103,0 of 0,3 of 6
50,KO/TKO,1,0:44,L,Yao Zhikui,0,1 of 6,16%,1 of 6,0 of 0,---,0,0,0:02,1 of 5,0 of 1,0 of 0,0 of 4,1 of 2,0 of 0,W,Fredy Serrano,0,3 of 5,60%,7 of 11,1 of 2,50%,0,0,0:04,1 of 2,0 of 1,2 of 2,2 of 3,1 of 2,0 of 0
51,Decision - Split,3,15:00,W,Yao Zhikui,0,9 of 108,8%,12 of 112,1 of 6,16%,0,0,0:39,7 of 104,1 of 3,1 of 1,6 of 100,3 of 8,0 of 0,L,Nolan Ticman,0,52 of 109,47%,52 of 109,0 of 5,0%,0,1,1:38,24 of 73,6 of 12,22 of 24,20 of 73,25 of 28,7 of 8
52,Decision - Split,3,15:00,L,Yao Zhikui,0,27 of 67,40%,107 of 152,0 of 0,---,0,2,3:57,26 of 66,1 of 1,0 of 0,19 of 45,3 of 7,5 of 15,W,Royston Wee,0,18 of 29,62%,88 of 106,3 of 4,75%,0,0,7:49,6 of 15,3 of 3,9 of 11,12 of 21,3 of 4,3 of 4
53,Decision - Unanimous,3,15:00,L,Zhalgas Zhumagulov,0,66 of 119,55%,73 of 126,2 of 11,18%,0,0,0:29,19 of 61,17 of 25,30 of 33,64 of 115,1 of 2,1 of 2,W,Raulian Paiva,0,52 of 121,42%,56 of 125,0 of 0,---,0,0,0:43,14 of 71,22 of 31,16 of 19,51 of 119,1 of 2,0 of 0
54,Decision - Unanimous,3,15:00,W,Fares Ziam,0,47 of 89,52%,54 of 98,1 of 5,20%,0,2,1:12,34 of 76,4 of 4,9 of 9,35 of 72,6 of 8,6 of 9,L,Jamie Mullarkey,0,20 of 72,27%,29 of 84,5 of 11,45%,0,0,6:56,7 of 51,2 of 8,11 of 13,18 of 65,2 of 7,0 of 0
