,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
112,KO/TKO,3,12:45,L,Jorge Patino,0,14 of 50,28%,39 of 76,0 of 0,---,0,0,1:07,10 of 45,1 of 2,3 of 3,7 of 26,2 of 8,5 of 16,W,Andre Galvao,0,53 of 90,58%,97 of 143,4 of 9,44%,0,0,8:18,41 of 77,6 of 7,6 of 6,3 of 12,3 of 4,47 of 74
113,Decision - Unanimous,3,13:00,L,Jorge Patino,0,19 of 88,21%,21 of 90,1 of 6,16%,1,0,--,5 of 69,1 of 2,13 of 17,16 of 83,2 of 4,1 of 1,W,Pat Miletich,0,27 of 71,38%,71 of 115,3 of 3,100%,0,0,--,9 of 44,4 of 9,14 of 18,20 of 62,2 of 4,5 of 5
114,Decision - Split,3,15:00,L,Claude Patrick,0,28 of 47,59%,65 of 84,0 of 3,0%,3,0,1:25,13 of 27,14 of 16,1 of 4,3 of 15,25 of 32,0 of 0,W,Brian Ebersole,0,23 of 39,58%,53 of 74,2 of 12,16%,0,0,8:59,14 of 24,2 of 6,7 of 9,9 of 21,10 of 14,4 of 4
115,Decision - Unanimous,3,15:00,W,Claude Patrick,0,29 of 62,46%,51 of 85,4 of 5,80%,1,0,4:49,13 of 44,8 of 9,8 of 9,13 of 39,15 of 21,1 of 2,L,Daniel Roberts,0,6 of 79,7%,31 of 111,1 of 4,25%,1,1,4:09,0 of 64,3 of 6,3 of 9,5 of 75,1 of 4,0 of 0
116,Decision - Unanimous,3,15:00,W,Claude Patrick,0,23 of 40,57%,63 of 85,3 of 5,60%,0,0,12:29,17 of 32,3 of 5,3 of 3,3 of 7,3 of 3,17 of 30,L,James Wilks,0,12 of 28,42%,46 of 66,0 of 1,0%,0,0,0:46,3 of 14,4 of 7,5 of 7,3 of 12,9 of 16,0 of 0
117,Submission,2,6:48,W,Claude Patrick,0,13 of 18,72%,24 of 30,1 of 2,50%,2,0,4:36,11 of 16,1 of 1,1 of 1,0 of 1,3 of 5,10 of 12,L,Ricardo Funch,0,5 of 5,100%,17 of 20,0 of 2,0%,0,0,1:39,1 of 1,1 of 1,3 of 3,2 of 2,2 of 2,1 of 1
118,Decision - Unanimous,3,15:00,L,Alan Patrick,0,19 of 69,27%,38 of 89,1 of 6,16%,0,0,1:43,8 of 50,7 of 15,4 of 4,18 of 68,0 of 0,1 of 1,W,Bobby Green,0,61 of 95,64%,109 of 149,4 of 6,66%,0,0,7:31,41 of 74,18 of 19,2 of 2,35 of 63,17 of 18,9 of 14
119,KO/TKO,3,13:42,L,Alan Patrick,0,25 of 62,40%,27 of 65,0 of 4,0%,0,0,0:13,16 of 45,8 of 14,1 of 3,22 of 58,3 of 3,0 of 1,W,Scott Holtzman,1,73 of 111,65%,96 of 138,1 of 2,50%,0,0,5:36,55 of 91,8 of 10,10 of 10,27 of 56,6 of 6,40 of 49
120,Decision - Unanimous,3,15:00,W,Alan Patrick,0,28 of 45,62%,91 of 129,9 of 15,60%,0,0,12:26,20 of 35,5 of 7,3 of 3,8 of 18,3 of 4,17 of 23,L,Damir Hadzovic,0,20 of 25,80%,67 of 81,0 of 0,---,1,0,0:48,5 of 8,15 of 17,0 of 0,6 of 9,11 of 12,3 of 4
121,Decision - Unanimous,3,15:00,W,Alan Patrick,0,7 of 12,58%,60 of 75,5 of 8,62%,1,0,12:12,7 of 11,0 of 1,0 of 0,3 of 6,0 of 0,4 of 6,L,Stevie Ray,0,2 of 9,22%,56 of 65,0 of 0,---,1,0,1:32,2 of 9,0 of 0,0 of 0,0 of 7,0 of 0,2 of 2
122,Decision - Unanimous,3,15:00,W,Alan Patrick,0,25 of 39,64%,117 of 147,5 of 7,71%,1,0,12:21,23 of 36,1 of 2,1 of 1,7 of 12,0 of 0,18 of 27,L,Damien Brown,0,15 of 25,60%,51 of 64,1 of 3,33%,1,0,0:36,13 of 21,2 of 3,0 of 1,6 of 11,1 of 2,8 of 12
123,KO/TKO,2,6:30,L,Alan Patrick,0,17 of 38,44%,17 of 38,0 of 7,0%,0,0,0:23,5 of 24,8 of 10,4 of 4,15 of 35,2 of 3,0 of 0,W,Mairbek Taisumov,1,23 of 43,53%,24 of 44,0 of 0,---,0,0,0:15,15 of 34,7 of 8,1 of 1,14 of 29,1 of 1,8 of 13
