,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
454,KO/TKO,1,2:27,L,Chris Tuchscherer,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,W,Gabriel Gonzaga,1,22 of 27,81%,34 of 41,0 of 0,---,0,0,1:57,20 of 25,1 of 1,1 of 1,2 of 2,0 of 0,20 of 25
455,Decision - Unanimous,3,15:00,L,Jon Tuck,0,33 of 75,44%,39 of 81,0 of 1,0%,1,0,0:00,16 of 53,10 of 15,7 of 7,29 of 68,1 of 2,3 of 5,W,Drew Dober,0,60 of 136,44%,122 of 208,2 of 2,100%,0,0,7:47,42 of 111,9 of 13,9 of 12,36 of 108,3 of 3,21 of 25
456,Submission,1,1:12,W,Jon Tuck,0,7 of 13,53%,7 of 13,0 of 0,---,1,0,0:38,6 of 12,1 of 1,0 of 0,3 of 7,1 of 2,3 of 4,L,Takanori Gomi,0,0 of 5,0%,0 of 5,0 of 0,---,0,0,0:00,0 of 4,0 of 1,0 of 0,0 of 5,0 of 0,0 of 0
457,Decision - Split,3,15:00,L,Jon Tuck,1,39 of 87,44%,73 of 122,0 of 1,0%,0,0,3:47,24 of 66,7 of 11,8 of 10,28 of 69,3 of 4,8 of 14,W,Damien Brown,0,34 of 130,26%,40 of 136,0 of 1,0%,1,0,0:00,22 of 103,3 of 16,9 of 11,31 of 124,3 of 6,0 of 0
458,Decision - Split,3,15:00,L,Jon Tuck,0,53 of 180,29%,54 of 181,0 of 1,0%,0,0,0:07,29 of 150,12 of 16,12 of 14,52 of 174,1 of 5,0 of 1,W,Josh Emmett,0,54 of 152,35%,54 of 153,0 of 2,0%,0,0,0:01,32 of 114,11 of 23,11 of 15,54 of 151,0 of 1,0 of 0
459,Submission,1,3:56,W,Jon Tuck,1,13 of 31,41%,13 of 31,0 of 0,---,1,0,1:02,7 of 23,4 of 4,2 of 4,9 of 23,2 of 4,2 of 4,L,Tae Hyun Bang,0,12 of 34,35%,12 of 34,1 of 1,100%,0,0,0:00,6 of 24,3 of 5,3 of 5,12 of 33,0 of 1,0 of 0
460,Decision - Unanimous,3,15:00,L,Jon Tuck,0,30 of 80,37%,68 of 125,0 of 0,---,2,0,0:07,13 of 60,10 of 13,7 of 7,20 of 61,7 of 14,3 of 5,W,Kevin Lee,0,74 of 157,47%,100 of 190,4 of 9,44%,0,0,8:45,53 of 131,21 of 26,0 of 0,24 of 84,19 of 27,31 of 46
461,KO/TKO,3,12:47,W,Jon Tuck,0,46 of 83,55%,86 of 126,3 of 5,60%,0,0,6:24,28 of 63,15 of 16,3 of 4,19 of 48,11 of 13,16 of 22,L,Jake Lindsey,0,49 of 75,65%,117 of 144,0 of 2,0%,0,0,2:28,16 of 35,26 of 30,7 of 10,25 of 45,24 of 29,0 of 1
462,Decision - Unanimous,3,15:00,L,Jon Tuck,0,67 of 178,37%,69 of 180,0 of 1,0%,0,0,0:00,35 of 137,13 of 18,19 of 23,64 of 172,3 of 6,0 of 0,W,Norman Parke,0,81 of 246,32%,82 of 248,1 of 1,100%,0,0,0:08,66 of 223,14 of 19,1 of 4,80 of 242,1 of 4,0 of 0
463,Decision - Unanimous,3,15:00,W,Jon Tuck,0,36 of 82,43%,91 of 145,0 of 0,---,2,1,6:43,24 of 66,10 of 14,2 of 2,35 of 81,1 of 1,0 of 0,L,Zhang Tiequan,0,40 of 93,43%,46 of 102,2 of 2,100%,0,0,1:16,33 of 81,2 of 3,5 of 9,40 of 93,0 of 0,0 of 0
