,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
270,Decision - Unanimous,3,15:00,L,Vaughan Lee,0,27 of 51,52%,52 of 79,0 of 0,---,1,0,1:12,19 of 41,4 of 5,4 of 5,16 of 34,1 of 1,10 of 16,W,Paddy Holohan,0,28 of 75,37%,60 of 108,1 of 3,33%,2,1,7:52,18 of 48,9 of 22,1 of 5,22 of 69,0 of 0,6 of 6
271,KO/TKO,1,0:25,L,Vaughan Lee,0,4 of 4,100%,4 of 4,0 of 0,---,0,0,0:00,3 of 3,1 of 1,0 of 0,4 of 4,0 of 0,0 of 0,W,Iuri Alcantara,1,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:03,4 of 8,1 of 1,0 of 1,2 of 6,0 of 0,3 of 4
272,Decision - Unanimous,3,15:00,W,Vaughan Lee,0,142 of 311,45%,145 of 314,0 of 1,0%,0,0,0:01,72 of 197,47 of 79,23 of 35,141 of 310,1 of 1,0 of 0,L,Nam Phan,0,24 of 189,12%,24 of 190,0 of 5,0%,0,0,0:13,11 of 158,8 of 22,5 of 9,24 of 188,0 of 1,0 of 0
273,Submission,2,6:51,L,Vaughan Lee,0,14 of 27,51%,28 of 41,0 of 1,0%,0,0,0:02,3 of 15,4 of 5,7 of 7,10 of 22,4 of 5,0 of 0,W,Raphael Assuncao,0,17 of 54,31%,27 of 65,3 of 5,60%,1,0,2:54,10 of 40,5 of 7,2 of 7,6 of 36,0 of 3,11 of 15
274,Decision - Unanimous,3,15:00,W,Vaughan Lee,0,20 of 48,41%,164 of 192,0 of 0,---,0,0,1:11,7 of 28,9 of 14,4 of 6,6 of 28,12 of 18,2 of 2,L,Motonobu Tezuka,0,4 of 35,11%,17 of 56,1 of 15,6%,1,0,7:51,1 of 28,0 of 0,3 of 7,4 of 34,0 of 1,0 of 0
275,Submission,1,2:33,L,Vaughan Lee,0,8 of 19,42%,20 of 31,0 of 0,---,0,0,0:00,3 of 12,4 of 5,1 of 2,8 of 19,0 of 0,0 of 0,W,TJ Dillashaw,0,3 of 16,18%,5 of 18,2 of 3,66%,1,0,1:01,2 of 14,1 of 1,0 of 1,3 of 16,0 of 0,0 of 0
276,Submission,1,4:29,W,Vaughan Lee,1,14 of 30,46%,32 of 48,0 of 1,0%,2,0,0:04,9 of 24,4 of 5,1 of 1,7 of 22,7 of 8,0 of 0,L,Norifumi Yamamoto,0,21 of 49,42%,21 of 49,1 of 2,50%,0,0,0:39,19 of 45,2 of 4,0 of 0,17 of 40,4 of 9,0 of 0
277,Decision - Split,3,15:00,L,Vaughan Lee,0,29 of 56,51%,101 of 128,4 of 9,44%,2,0,5:37,10 of 33,9 of 12,10 of 11,11 of 31,15 of 19,3 of 6,W,Chris Cariaso,0,52 of 89,58%,79 of 116,2 of 3,66%,1,0,6:21,35 of 68,14 of 16,3 of 5,21 of 43,17 of 23,14 of 23
278,Submission,3,10:28,L,Kevin Lee,0,41 of 80,51%,61 of 100,2 of 3,66%,0,1,6:30,35 of 74,6 of 6,0 of 0,31 of 65,0 of 0,10 of 15,W,Charles Oliveira,0,43 of 65,66%,51 of 73,0 of 1,0%,2,1,0:11,28 of 49,9 of 10,6 of 6,35 of 56,2 of 2,6 of 7
279,KO/TKO,1,2:47,W,Kevin Lee,1,21 of 59,35%,21 of 59,0 of 0,---,0,0,0:01,19 of 55,2 of 4,0 of 0,20 of 56,0 of 2,1 of 1,L,Gregor Gillespie,0,9 of 46,19%,9 of 46,0 of 1,0%,0,0,0:00,8 of 45,0 of 0,1 of 1,9 of 46,0 of 0,0 of 0
