,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
67,KO/TKO,1,3:28,L,Teruto Ishihara,0,11 of 30,36%,11 of 30,0 of 2,0%,0,0,0:18,4 of 18,2 of 5,5 of 7,9 of 28,2 of 2,0 of 0,W,Petr Yan,2,25 of 40,62%,29 of 45,0 of 0,---,0,0,0:04,18 of 32,7 of 8,0 of 0,19 of 31,1 of 1,5 of 8
68,Decision - Unanimous,3,15:00,L,Teruto Ishihara,1,33 of 109,30%,35 of 111,1 of 4,25%,0,0,0:25,8 of 77,6 of 12,19 of 20,29 of 102,4 of 7,0 of 0,W,Jose Quinonez,0,49 of 98,50%,54 of 103,2 of 7,28%,0,0,3:21,16 of 59,6 of 8,27 of 31,42 of 89,7 of 9,0 of 0
69,Decision - Unanimous,3,15:00,W,Teruto Ishihara,1,50 of 98,51%,77 of 127,2 of 6,33%,0,0,5:56,32 of 77,6 of 8,12 of 13,25 of 59,2 of 2,23 of 37,L,Rolando Dy,0,48 of 85,56%,52 of 89,0 of 0,---,0,0,0:01,30 of 61,15 of 21,3 of 3,33 of 68,13 of 13,2 of 4
70,Decision - Unanimous,3,15:00,L,Teruto Ishihara,0,8 of 13,61%,14 of 19,0 of 0,---,0,0,0:06,3 of 7,5 of 6,0 of 0,4 of 8,3 of 4,1 of 1,W,Gray Maynard,0,16 of 24,66%,37 of 46,11 of 11,100%,2,0,12:59,8 of 15,8 of 9,0 of 0,1 of 3,3 of 4,12 of 17
71,Decision - Unanimous,3,15:00,L,Teruto Ishihara,1,48 of 119,40%,55 of 131,0 of 4,0%,0,0,1:09,20 of 77,12 of 25,16 of 17,45 of 116,1 of 1,2 of 2,W,Artem Lobov,0,82 of 160,51%,86 of 165,1 of 1,100%,0,0,0:49,45 of 111,12 of 14,25 of 35,74 of 150,4 of 5,4 of 5
72,KO/TKO,1,2:32,W,Teruto Ishihara,1,13 of 25,52%,13 of 25,0 of 1,0%,0,0,0:06,7 of 17,3 of 5,3 of 3,8 of 19,0 of 0,5 of 6,L,Horacio Gutierrez,0,5 of 18,27%,5 of 18,0 of 0,---,0,0,0:00,1 of 14,0 of 0,4 of 4,5 of 18,0 of 0,0 of 0
73,KO/TKO,2,5:34,W,Teruto Ishihara,1,27 of 51,52%,31 of 55,0 of 0,---,0,0,0:08,19 of 42,3 of 3,5 of 6,22 of 39,1 of 4,4 of 8,L,Julian Erosa,0,16 of 44,36%,24 of 52,1 of 1,100%,0,0,1:04,4 of 27,9 of 13,3 of 4,14 of 38,2 of 4,0 of 2
74,Decision - Split,3,15:00,D,Teruto Ishihara,2,88 of 168,52%,89 of 169,0 of 1,0%,0,0,0:10,62 of 134,14 of 22,12 of 12,82 of 154,5 of 13,1 of 1,D,Mizuto Hirota,0,62 of 183,33%,100 of 225,2 of 5,40%,0,0,3:25,55 of 165,4 of 13,3 of 5,49 of 163,13 of 20,0 of 0
75,Decision - Unanimous,3,15:00,W,Damir Ismagulov,1,71 of 188,37%,73 of 191,0 of 5,0%,0,0,1:16,28 of 132,21 of 34,22 of 22,58 of 168,2 of 3,11 of 17,L,Thiago Moises,0,36 of 114,31%,37 of 115,0 of 3,0%,0,0,0:24,16 of 88,7 of 10,13 of 16,32 of 110,4 of 4,0 of 0
76,Decision - Unanimous,3,15:00,W,Damir Ismagulov,0,64 of 150,42%,64 of 150,0 of 0,---,0,0,0:00,25 of 85,30 of 51,9 of 14,64 of 150,0 of 0,0 of 0,L,Joel Alvarez,0,38 of 127,29%,38 of 127,0 of 0,---,0,0,0:00,26 of 107,5 of 11,7 of 9,37 of 126,1 of 1,0 of 0
